Episodes,Returns
0,-1507.8356389312853
1,-1575.4919177205315
2,-1576.0724752034387
3,-551.3287022904876
4,-995.0999509162949
5,-579.2622520839486
6,-279.05989170619023
7,-287.0253364467753
8,-1082.9415439800023
9,-384.1672766544764
10,-1471.114817913353
11,-1367.486309297642
12,-369.10362377025626
13,-1099.2690851085579
14,-133.67927298809283
15,-397.34378601646523
16,-0.6161029114189396
17,-0.43991058697693414
18,-367.64096859304175
19,-3.281585930567274
20,-139.9070654832948
21,-132.081960309477
22,-126.5670321282625
23,-402.8559904702088
24,-129.56137400590535
25,-266.49065465961354
26,-125.1506304371183
27,-1.354945375894756
28,-119.06114461558424
29,-127.44100668077691
30,-248.6708923540792
31,-128.54776770786478
32,-128.73724933664133
33,-127.31952396673657
34,-127.6059397404488
35,-1.875573757058798
36,-0.3892346088680054
37,-127.58742747450479
38,-250.18133826562564
39,-123.06518993070672
40,-1.9826014691338008
41,-134.0428707613286
42,-122.30106694692708
43,-249.93041771319548
44,-230.52732668585614
45,-337.52460348654546
46,-223.86129270054496
47,-257.53250415012434
48,-240.88410221704328
49,-0.7181784870930509
50,-114.17734403930767
51,-129.0386803700667
52,-1.3250010081774677
53,-267.6565321927793
54,-132.6652626315137
55,-127.87359412298709
56,-122.54462322139234
57,-294.67910108252903
58,-131.44228540346762
59,-127.09312810252847
60,-241.8061125523706
61,-126.55378874816874
62,-264.405399318691
63,-239.22871348211697
64,-131.04195092811122
65,-118.37084864470313
66,-125.53307665194869
67,-118.79237052778787
68,-346.93840302490327
69,-2.5907208376837056
70,-261.0245143521326
71,-4.745346176776026
72,-297.42638601636406
73,-3.391674187628898
74,-368.5868424820541
75,-245.91017746738274
76,-127.95735554485714
77,-311.50883556384315
78,-264.06602769538347
79,-128.71032536300822
80,-0.7092879744141518
81,-121.04623537050885
82,-129.5785969166454
83,-244.63905012074608
84,-132.19608300698636
85,-126.70515549342232
86,-241.87790188571844
87,-123.83211826701101
88,-233.1748801577536
89,-257.41264550139715
90,-249.30048631909307
91,-126.69070297491214
92,-134.09275684487906
93,-131.23346152336808
94,-119.33691927263791
95,-1.0881544115636155
96,-371.6012502305774
97,-352.46638518173825
98,-240.41190322108667
99,-127.52881965688955
