Episodes,Returns
0,-1707.3983880675535
1,-1445.7957734216236
2,-1151.9566012471475
3,-1066.5175088823767
4,-1458.2407533943133
5,-1655.59726790348
6,-1028.4978069499996
7,-1679.9999629793176
8,-1600.0162851884597
9,-1858.9949698777132
10,-1570.0607393664118
11,-1464.9165329100908
12,-1642.502918897196
13,-1349.4731674979519
14,-1186.717176442131
15,-1180.3593470932642
16,-884.4989727431167
17,-765.2363445976496
18,-1056.6669143984193
19,-612.9008276586105
20,-1038.922616056475
21,-1614.8161026258376
22,-1380.6883017438136
23,-945.1191174762121
24,-384.94627625230356
25,-402.06948843228577
26,-255.42020740782658
27,-3.3877993198043987
28,-248.88614633384893
29,-131.08844787439247
30,-260.2757777745847
31,-132.13542318992842
32,-135.48941251866773
33,-129.69934009428977
34,-130.3405842052163
35,-5.424316471249435
36,-2.5329870823756795
37,-129.58406908218186
38,-249.4154641056152
39,-124.0727321251546
40,-1.537072575806216
41,-133.83535323146694
42,-123.97326215015688
43,-264.70056409215454
44,-235.59533332644938
45,-355.1854253957376
46,-235.1543838529312
47,-268.67276542240177
48,-241.8910180779063
49,-4.2888691910496615
50,-113.98753002735069
51,-122.60260441887564
52,-4.01785802104921
53,-336.5196314891043
54,-132.36877016813676
55,-129.0007255254864
56,-119.19578703605171
57,-262.1974778155928
58,-254.04291346716425
59,-124.26133166970915
60,-244.468875351059
61,-118.19710164338152
62,-248.7091241378945
63,-242.97216234835489
64,-129.84447738362044
65,-116.51598588932808
66,-123.94696201179372
67,-116.60659838286853
68,-263.49977054730687
69,-9.386702070646319
70,-261.8185845389727
71,-4.219468805966894
72,-329.07224816124307
73,-6.702669160419069
74,-372.2689522179495
75,-254.53293222994995
76,-124.27656533778334
77,-280.2691843399833
78,-261.0383359409914
79,-131.13176370301372
80,-6.93129749793637
81,-125.654542810052
82,-129.73044223951638
83,-245.24175100137649
84,-131.20499069851238
85,-126.46098911513324
86,-243.14376133395646
87,-128.88657545981764
88,-236.87186885948051
89,-249.12174846550687
90,-252.24140002155278
91,-123.92625465225838
92,-129.45661789287607
93,-129.65309777294257
94,-118.53234085821273
95,-0.8497925012628045
96,-896.9488497259514
97,-482.6963136226315
98,-243.95081220094406
99,-123.41542348975572
100,-254.30020086232884
101,-131.61905258957316
102,-307.41325071029325
103,-131.03046860595435
104,-372.5462321288842
105,-501.25736477801087
106,-488.7090446466416
107,-369.6739728614065
108,-483.5062219453039
109,-380.39984698669656
110,-231.63994004693646
111,-242.24194108387084
112,-132.44928691334437
113,-122.56538418709833
114,-123.76478110862914
115,-9.710408981044607
116,-242.00740226029586
117,-125.87464875073395
118,-5.679816084557537
119,-131.5967423951252
120,-119.63512619621393
121,-120.04487665048083
122,-126.39842935924581
123,-273.54761379983836
124,-129.50673667694875
125,-359.84850209693593
126,-4.634864121347396
127,-253.4216067975075
128,-121.48954800875109
129,-121.17181802137935
130,-121.73900066265648
131,-126.37658259753651
132,-3.3982450279933287
133,-127.1811453733868
134,-119.47173055081433
135,-250.93428243612271
136,-117.52397657791464
137,-249.27251516463093
138,-226.60647638782058
139,-3.9422988784538076
140,-243.265955746437
141,-243.70356940960386
142,-127.88094950041983
143,-6.639590014929039
144,-127.33529112890083
145,-5.412424961493115
146,-133.70421123796834
147,-260.53602741141594
148,-126.95556585861652
149,-240.48285860639592
150,-257.0884501795669
151,-131.75545611838515
152,-7.02305389272295
153,-359.16587362733907
154,-120.51042670634072
155,-122.67411130347048
156,-9.197029499661841
157,-128.84121258394813
158,-129.9881564468597
159,-10.890840128191295
160,-269.29449652919396
161,-134.47115213242466
162,-126.33895005000633
163,-129.09897496177857
164,-318.22425110937576
165,-7.720518787342881
166,-132.35843671653592
167,-251.5306273797113
168,-123.60195831290464
169,-388.68527366844785
170,-259.353741644026
171,-137.84128399645692
172,-123.10354698272941
173,-134.65776373435915
174,-288.2627238709248
175,-1199.500930289241
176,-638.0030069338246
177,-125.8671014923823
178,-127.3938622480158
179,-121.63939576412754
180,-5.841244197980417
181,-356.8202577069202
182,-7.372123337027687
183,-333.97798830443116
184,-7.9176903388676365
185,-125.50895026682907
186,-127.35228862207904
187,-234.80725896013357
188,-1.2974316630824165
189,-230.5877931096441
190,-433.0856810208716
191,-245.7759488374105
192,-132.08896864926606
193,-122.47215519472032
194,-124.1996961798574
195,-128.9203815794541
196,-129.76689565181942
197,-128.45987147982655
198,-134.78888863749074
199,-132.65848758631586
