Episodes,Returns
0,-50.0
1,-50.0
2,-50.0
3,-50.0
4,-50.0
5,-50.0
6,-50.0
7,-50.0
8,-50.0
9,-50.0
10,-50.0
11,-50.0
12,-50.0
13,-50.0
14,-50.0
15,-50.0
16,-50.0
17,-50.0
18,-50.0
19,-50.0
20,-50.0
21,-50.0
22,-50.0
23,-50.0
24,-50.0
25,-50.0
26,-50.0
27,-50.0
28,-50.0
29,-50.0
30,-50.0
31,-50.0
32,-50.0
33,-50.0
34,-50.0
35,-50.0
36,-50.0
37,-50.0
38,-50.0
39,-50.0
40,-50.0
41,-50.0
42,-50.0
43,-50.0
44,-50.0
45,-50.0
46,-50.0
47,-50.0
48,-50.0
49,-50.0
50,-50.0
51,-50.0
52,-50.0
53,-50.0
54,-50.0
55,-50.0
56,-50.0
57,-50.0
58,-50.0
59,-50.0
60,-50.0
61,-50.0
62,-50.0
63,-50.0
64,-50.0
65,-50.0
66,-50.0
67,-50.0
68,-50.0
69,-50.0
70,-50.0
71,-50.0
72,-50.0
73,-50.0
74,-50.0
75,-50.0
76,-50.0
77,-50.0
78,-50.0
79,-50.0
80,-50.0
81,-50.0
82,-50.0
83,-50.0
84,-50.0
85,-50.0
86,-50.0
87,-50.0
88,-50.0
89,-50.0
90,-50.0
91,-50.0
92,-50.0
93,-50.0
94,-50.0
95,-50.0
96,-50.0
97,-50.0
98,-50.0
99,-50.0
100,-50.0
101,-50.0
102,-50.0
103,-50.0
104,-50.0
105,-50.0
106,-50.0
107,-50.0
108,-50.0
109,-50.0
110,-50.0
111,-50.0
112,-50.0
113,-50.0
114,-50.0
115,-50.0
116,-50.0
117,-50.0
118,-50.0
119,-50.0
120,-50.0
121,-50.0
122,-50.0
123,-50.0
124,-50.0
125,-50.0
126,-50.0
127,-50.0
128,-50.0
129,-50.0
130,-50.0
131,-50.0
132,-50.0
133,-50.0
134,-50.0
135,-50.0
136,-50.0
137,-50.0
138,-50.0
139,-50.0
140,-50.0
141,-50.0
142,-50.0
143,-50.0
144,-50.0
145,-50.0
146,-50.0
147,-50.0
148,-50.0
149,-50.0
150,-50.0
151,-50.0
152,-50.0
153,-50.0
154,-50.0
155,-50.0
156,-50.0
157,-50.0
158,-50.0
159,-50.0
160,-50.0
161,-50.0
162,-50.0
163,-50.0
164,-50.0
165,-50.0
166,-50.0
167,-50.0
168,-50.0
169,-50.0
170,-50.0
171,-50.0
172,-50.0
173,-50.0
174,-50.0
175,-50.0
176,-50.0
177,-50.0
178,-50.0
179,-50.0
180,-50.0
181,-50.0
182,-50.0
183,-50.0
184,-50.0
185,-50.0
186,-50.0
187,-50.0
188,-50.0
189,-50.0
190,-50.0
191,-50.0
192,-50.0
193,-50.0
194,-50.0
195,-50.0
196,-50.0
197,-50.0
198,-50.0
199,-50.0
200,-50.0
201,-50.0
202,-50.0
203,-50.0
204,-50.0
205,-50.0
206,-50.0
207,-50.0
208,-50.0
209,-50.0
210,-50.0
211,-50.0
212,-50.0
213,-50.0
214,-50.0
215,-50.0
216,-50.0
217,-50.0
218,-50.0
219,-50.0
220,-50.0
221,-50.0
222,-50.0
223,-50.0
224,-50.0
225,-50.0
226,-50.0
227,-50.0
228,-50.0
229,-50.0
230,-50.0
231,-50.0
232,-50.0
233,-50.0
234,-50.0
235,-50.0
236,-50.0
237,-50.0
238,-50.0
239,-50.0
240,-50.0
241,-50.0
242,-50.0
243,-50.0
244,-50.0
245,-50.0
246,-50.0
247,-50.0
248,-50.0
249,-50.0
250,-50.0
251,-50.0
252,-50.0
253,-50.0
254,-50.0
255,-50.0
256,-50.0
257,-50.0
258,-50.0
259,-50.0
260,-50.0
261,-50.0
262,-50.0
263,-50.0
264,-50.0
265,-50.0
266,-50.0
267,-50.0
268,-50.0
269,-50.0
270,-50.0
271,-50.0
272,-50.0
273,-50.0
274,-50.0
275,-50.0
276,-50.0
277,-50.0
278,-50.0
279,-50.0
280,-50.0
281,-50.0
282,-50.0
283,-50.0
284,-50.0
285,-50.0
286,-50.0
287,-50.0
288,-50.0
289,-50.0
290,-50.0
291,-50.0
292,-50.0
293,-50.0
294,-50.0
295,-50.0
296,-50.0
297,-50.0
298,-50.0
299,-50.0
300,-50.0
301,-50.0
302,-50.0
303,-50.0
304,-50.0
305,-50.0
306,-50.0
307,-50.0
308,-50.0
309,-50.0
310,-50.0
311,-50.0
312,-50.0
313,-50.0
314,-50.0
315,-50.0
316,-50.0
317,-50.0
318,-50.0
319,-50.0
320,-50.0
321,-50.0
322,-50.0
323,-50.0
324,-50.0
325,-50.0
326,-50.0
327,-50.0
328,-50.0
329,-50.0
330,-50.0
331,-50.0
332,-50.0
333,-50.0
334,-50.0
335,-50.0
336,-50.0
337,-50.0
338,-50.0
339,-50.0
340,-50.0
341,-50.0
342,-50.0
343,-50.0
344,-50.0
345,-50.0
346,-50.0
347,-50.0
348,-50.0
349,-50.0
350,-50.0
351,-50.0
352,-50.0
353,-50.0
354,-50.0
355,-50.0
356,-50.0
357,-50.0
358,-50.0
359,-50.0
360,-50.0
361,-50.0
362,-50.0
363,-50.0
364,-50.0
365,-50.0
366,-50.0
367,-50.0
368,-50.0
369,-50.0
370,-50.0
371,-50.0
372,-50.0
373,-50.0
374,-50.0
375,-50.0
376,-50.0
377,-50.0
378,-50.0
379,-50.0
380,-50.0
381,-50.0
382,-50.0
383,-50.0
384,-50.0
385,-50.0
386,-50.0
387,-50.0
388,-50.0
389,-50.0
390,-50.0
391,-50.0
392,-50.0
393,-50.0
394,-50.0
395,-50.0
396,-50.0
397,-50.0
398,-50.0
399,-50.0
400,-50.0
401,-50.0
402,-50.0
403,-50.0
404,-50.0
405,-50.0
406,-50.0
407,-50.0
408,-50.0
409,-50.0
410,-50.0
411,-50.0
412,-50.0
413,-50.0
414,-50.0
415,-50.0
416,-50.0
417,-50.0
418,-50.0
419,-50.0
420,-50.0
421,-50.0
422,-50.0
423,-50.0
424,-50.0
425,-50.0
426,-50.0
427,-50.0
428,-50.0
429,-50.0
430,-50.0
431,-50.0
432,-50.0
433,-50.0
434,-50.0
435,-50.0
436,-50.0
437,-50.0
438,-50.0
439,-50.0
440,-50.0
441,-50.0
442,-50.0
443,-50.0
444,-50.0
445,-50.0
446,-50.0
447,-50.0
448,-50.0
449,-50.0
450,-50.0
451,-50.0
452,-50.0
453,-50.0
454,-50.0
455,-50.0
456,-50.0
457,-50.0
458,-50.0
459,-50.0
460,-50.0
461,-50.0
462,-50.0
463,-50.0
464,-50.0
465,-50.0
466,-50.0
467,-50.0
468,-50.0
469,-50.0
470,-50.0
471,-50.0
472,-50.0
473,-50.0
474,-50.0
475,-50.0
476,-50.0
477,-50.0
478,-50.0
479,-50.0
480,-50.0
481,-50.0
482,-50.0
483,-50.0
484,-50.0
485,-50.0
486,-50.0
487,-50.0
488,-50.0
489,-50.0
490,-50.0
491,-50.0
492,-50.0
493,-50.0
494,-50.0
495,-50.0
496,-50.0
497,-50.0
498,-50.0
499,-50.0
500,-50.0
501,-50.0
502,-50.0
503,-50.0
504,-50.0
505,-50.0
506,-50.0
507,-50.0
508,-50.0
509,-50.0
510,-50.0
511,-50.0
512,-50.0
513,-50.0
514,-50.0
515,-50.0
516,-50.0
517,-50.0
518,-50.0
519,-50.0
520,-50.0
521,-50.0
522,-50.0
523,-50.0
524,-50.0
525,-50.0
526,-50.0
527,-50.0
528,-50.0
529,-50.0
530,-50.0
531,-50.0
532,-50.0
533,-50.0
534,-50.0
535,-50.0
536,-50.0
537,-50.0
538,-50.0
539,-50.0
540,-50.0
541,-50.0
542,-50.0
543,-50.0
544,-50.0
545,-50.0
546,-50.0
547,-50.0
548,-50.0
549,-50.0
550,-50.0
551,-50.0
552,-50.0
553,-50.0
554,-50.0
555,-50.0
556,-50.0
557,-50.0
558,-50.0
559,-50.0
560,-50.0
561,-50.0
562,-50.0
563,-50.0
564,-50.0
565,-50.0
566,-50.0
567,-50.0
568,-50.0
569,-50.0
570,-50.0
571,-50.0
572,-50.0
573,-50.0
574,-50.0
575,-50.0
576,-50.0
577,-50.0
578,-50.0
579,-50.0
580,-50.0
581,-50.0
582,-50.0
583,-50.0
584,-50.0
585,-50.0
586,-50.0
587,-50.0
588,-50.0
589,-50.0
590,-50.0
591,-50.0
592,-50.0
593,-50.0
594,-50.0
595,-50.0
596,-50.0
597,-50.0
598,-50.0
599,-50.0
600,-50.0
601,-50.0
602,-50.0
603,-50.0
604,-50.0
605,-50.0
606,-50.0
607,-50.0
608,-50.0
609,-50.0
610,-50.0
611,-50.0
612,-50.0
613,-50.0
614,-50.0
615,-50.0
616,-50.0
617,-50.0
618,-50.0
619,-50.0
620,-50.0
621,-50.0
622,-50.0
623,-50.0
624,-50.0
625,-50.0
626,-50.0
627,-50.0
628,-50.0
629,-50.0
630,-50.0
631,-50.0
632,-50.0
633,-50.0
634,-50.0
635,-50.0
636,-50.0
637,-50.0
638,-50.0
639,-50.0
640,-50.0
641,-50.0
642,-50.0
643,-50.0
644,-50.0
645,-50.0
646,-50.0
647,-50.0
648,-50.0
649,-50.0
650,-50.0
651,-50.0
652,-50.0
653,-50.0
654,-50.0
655,-50.0
656,-50.0
657,-50.0
658,-50.0
659,-50.0
660,-50.0
661,-50.0
662,-50.0
663,-50.0
664,-50.0
665,-50.0
666,-50.0
667,-50.0
668,-50.0
669,-50.0
670,-50.0
671,-50.0
672,-50.0
673,-50.0
674,-50.0
675,-50.0
676,-50.0
677,-50.0
678,-50.0
679,-50.0
680,-50.0
681,-50.0
682,-50.0
683,-50.0
684,-50.0
685,-50.0
686,-50.0
687,-50.0
688,-50.0
689,-50.0
690,-50.0
691,-50.0
692,-50.0
693,-50.0
694,-50.0
695,-50.0
696,-50.0
697,-50.0
698,-50.0
699,-50.0
700,-50.0
701,-50.0
702,-50.0
703,-50.0
704,-50.0
705,-50.0
706,-50.0
707,-50.0
708,-50.0
709,-50.0
710,-50.0
711,-50.0
712,-50.0
713,-50.0
714,-50.0
715,-50.0
716,-50.0
717,-50.0
718,-50.0
719,-50.0
720,-50.0
721,-50.0
722,-50.0
723,-50.0
724,-50.0
725,-50.0
726,-50.0
727,-50.0
728,-50.0
729,-50.0
730,-50.0
731,-50.0
732,-50.0
733,-50.0
734,-50.0
735,-50.0
736,-50.0
737,-50.0
738,-50.0
739,-50.0
740,-50.0
741,-50.0
