Episodes,Returns
0,9.0
1,9.0
2,9.0
3,10.0
4,9.0
5,8.0
6,9.0
7,9.0
8,8.0
9,9.0
10,10.0
11,11.0
12,10.0
13,10.0
14,10.0
15,10.0
16,9.0
17,9.0
18,8.0
19,9.0
20,9.0
21,8.0
22,8.0
23,8.0
24,9.0
25,9.0
26,9.0
27,9.0
28,9.0
29,8.0
30,9.0
31,9.0
32,10.0
33,8.0
34,9.0
35,10.0
36,11.0
37,10.0
38,9.0
39,9.0
40,10.0
41,10.0
42,8.0
43,8.0
44,10.0
45,9.0
46,10.0
47,8.0
48,8.0
49,9.0
50,8.0
51,10.0
52,10.0
53,8.0
54,11.0
55,10.0
56,9.0
57,12.0
58,9.0
59,9.0
60,9.0
61,10.0
62,9.0
63,9.0
64,9.0
65,9.0
66,9.0
67,8.0
68,8.0
69,8.0
70,10.0
71,10.0
72,10.0
73,9.0
74,11.0
75,9.0
76,11.0
77,10.0
78,11.0
79,9.0
80,13.0
81,8.0
82,10.0
83,11.0
84,9.0
85,13.0
86,9.0
87,12.0
88,16.0
89,9.0
90,9.0
91,10.0
92,9.0
93,13.0
94,21.0
95,11.0
96,22.0
97,15.0
98,12.0
99,23.0
100,9.0
101,42.0
102,25.0
103,13.0
104,11.0
105,14.0
106,13.0
107,21.0
108,12.0
109,14.0
110,21.0
111,24.0
112,80.0
113,17.0
114,20.0
115,20.0
116,23.0
117,24.0
118,21.0
119,37.0
120,30.0
121,40.0
122,44.0
123,36.0
124,46.0
125,40.0
126,50.0
127,58.0
128,65.0
129,49.0
130,81.0
131,237.0
132,65.0
133,66.0
134,101.0
135,79.0
136,108.0
137,83.0
138,121.0
139,99.0
140,98.0
141,82.0
142,69.0
143,98.0
144,82.0
145,141.0
146,105.0
147,169.0
148,213.0
149,118.0
150,115.0
151,107.0
152,126.0
153,123.0
154,122.0
155,181.0
156,157.0
157,102.0
158,110.0
159,154.0
160,188.0
161,162.0
162,98.0
163,104.0
164,189.0
165,117.0
166,133.0
167,119.0
168,180.0
169,149.0
170,215.0
171,155.0
172,225.0
173,132.0
174,248.0
175,265.0
176,351.0
177,193.0
178,288.0
179,163.0
180,210.0
181,273.0
182,310.0
183,176.0
184,179.0
185,172.0
186,177.0
187,184.0
188,245.0
189,238.0
190,149.0
191,165.0
192,166.0
193,144.0
194,185.0
195,196.0
196,275.0
197,168.0
198,163.0
199,182.0
200,161.0
201,156.0
202,185.0
203,206.0
204,159.0
205,143.0
206,216.0
207,140.0
208,133.0
209,159.0
210,182.0
