Episodes,Returns
0,-1507.8356389312853
1,-1553.1333439517518
2,-1241.1657370124076
3,-1009.1644041217395
4,-937.1241899198839
5,-812.2721496669051
6,-800.6746941327741
7,-777.4984534765744
8,-757.2512225298819
9,-768.8255707734666
10,-719.316350873927
11,-732.459005797291
12,-700.6357576266959
13,-580.3577983608039
14,-578.5215419095334
15,-415.4289605781127
16,-279.031266820963
17,-252.69552643643206
18,-144.61752054973275
19,-174.5260447144123
20,-144.77244337990567
21,-174.31406024081622
22,-188.17080689083195
23,-147.4723598667046
24,-160.33675527615094
25,-158.95163763142693
26,-171.9059634141605
27,-172.12604514522738
28,-141.66840724149773
29,-141.41931279270122
30,-125.98767780168298
31,-112.29044928167644
32,-112.18314808534018
33,-113.13051284744243
34,-126.76832746798108
35,-112.8121383098284
36,-98.74934206108063
37,-99.33885555271243
38,-98.7812492171779
39,-112.37285788081641
40,-137.77860820623835
41,-175.23809363709128
42,-185.9351897733181
43,-186.75198598270677
44,-199.84297623674422
45,-199.70248479429495
46,-197.4952040474038
47,-198.2438277610862
48,-170.621003682751
49,-174.74647096129814
50,-151.98432197740598
51,-141.31902213545496
52,-126.32036869892909
53,-132.29759079509435
54,-146.8224915635805
55,-148.25757868171624
56,-160.78729336863884
57,-174.70160311752664
58,-174.34036613151653
59,-186.18074955936106
60,-186.53278920437515
61,-186.06903647363208
62,-167.27503375912298
63,-165.86948766182508
64,-190.2967404309776
65,-163.7172524626791
66,-178.65844419645268
67,-149.8073271806845
68,-156.27373524004523
69,-142.09037115776906
70,-169.89214825080813
71,-183.26738167474548
72,-184.2857133433091
73,-180.34909473652482
74,-209.40190660960232
75,-194.7003300552553
76,-194.25187914388192
77,-174.65408462767584
78,-188.67485381978906
79,-174.90287689075478
80,-162.2679775062663
81,-162.12884416721784
82,-154.39207375853707
83,-138.81052826649588
84,-150.41770102146742
85,-178.94029630224315
86,-193.19076862986387
87,-192.8698915252268
88,-180.58697005013042
89,-180.4800121075059
90,-179.66131919408548
91,-152.90690280806828
92,-180.4368063595757
93,-193.69141802890752
94,-191.80244666442863
95,-178.2722614797393
96,-191.95241335683735
97,-218.6193025403711
98,-240.13570268657148
99,-127.52881965688955
