Episodes,Returns
0,-50.0
1,-50.0
2,-50.0
3,-50.0
4,-50.0
5,-50.0
6,-50.0
7,-50.0
8,-50.0
9,-50.0
10,-50.0
11,-50.0
12,-50.0
13,-50.0
14,-50.0
15,-50.0
16,-50.0
17,-50.0
18,-50.0
19,-50.0
20,-50.0
21,-50.0
22,-50.0
23,-50.0
24,-50.0
25,-50.0
26,-50.0
27,-50.0
28,-50.0
29,-50.0
30,-50.0
31,-50.0
32,-50.0
33,-50.0
34,-50.0
35,-50.0
36,-50.0
37,-50.0
38,-50.0
39,-50.0
40,-50.0
41,-50.0
42,-50.0
43,-50.0
44,-50.0
45,-50.0
46,-50.0
47,-50.0
48,-50.0
49,-50.0
50,-50.0
51,-50.0
52,-50.0
53,-50.0
54,-50.0
55,-50.0
56,-50.0
57,-50.0
58,-50.0
59,-50.0
60,-50.0
61,-50.0
62,-50.0
63,-50.0
64,-50.0
65,-50.0
66,-50.0
67,-50.0
68,-50.0
69,-50.0
70,-50.0
71,-50.0
72,-50.0
73,-50.0
74,-50.0
75,-50.0
76,-50.0
77,-50.0
78,-50.0
79,-50.0
80,-50.0
81,-50.0
82,-50.0
83,-50.0
84,-50.0
85,-50.0
86,-50.0
87,-50.0
88,-50.0
89,-50.0
90,-50.0
91,-50.0
92,-50.0
93,-50.0
94,-50.0
95,-50.0
96,-50.0
97,-50.0
98,-50.0
99,-50.0
100,-50.0
101,-50.0
102,-50.0
103,-50.0
104,-50.0
105,-50.0
106,-50.0
107,-50.0
108,-50.0
109,-50.0
110,-50.0
111,-50.0
112,-50.0
113,-50.0
114,-50.0
115,-50.0
116,-50.0
117,-50.0
118,-50.0
119,-50.0
120,-50.0
121,-50.0
122,-50.0
123,-50.0
124,-50.0
125,-50.0
126,-50.0
127,-50.0
128,-50.0
129,-50.0
130,-50.0
131,-50.0
132,-50.0
133,-50.0
134,-50.0
135,-50.0
136,-50.0
137,-50.0
138,-50.0
139,-50.0
140,-50.0
141,-50.0
142,-50.0
143,-50.0
144,-50.0
145,-50.0
146,-50.0
147,-50.0
148,-50.0
149,-50.0
150,-50.0
151,-50.0
152,-50.0
153,-50.0
154,-50.0
155,-50.0
156,-50.0
157,-50.0
158,-50.0
159,-50.0
160,-50.0
161,-50.0
162,-50.0
163,-50.0
164,-50.0
165,-50.0
166,-50.0
167,-50.0
168,-50.0
169,-50.0
170,-50.0
171,-50.0
172,-50.0
173,-50.0
174,-50.0
175,-50.0
176,-50.0
177,-50.0
178,-50.0
179,-50.0
180,-50.0
181,-50.0
182,-50.0
183,-50.0
184,-50.0
185,-50.0
186,-50.0
187,-50.0
188,-50.0
189,-50.0
190,-50.0
191,-50.0
192,-50.0
193,-50.0
194,-50.0
195,-50.0
196,-50.0
197,-50.0
198,-50.0
199,-50.0
200,-50.0
201,-50.0
202,-50.0
203,-50.0
204,-50.0
205,-50.0
206,-50.0
207,-44.888888888888886
208,-44.888888888888886
209,-44.888888888888886
210,-44.888888888888886
211,-44.888888888888886
212,-44.888888888888886
213,-44.888888888888886
214,-44.888888888888886
215,-44.888888888888886
216,-50.0
217,-50.0
218,-50.0
219,-50.0
220,-50.0
221,-50.0
222,-50.0
223,-50.0
224,-44.77777777777778
225,-44.77777777777778
226,-44.77777777777778
227,-44.77777777777778
228,-44.77777777777778
229,-44.77777777777778
230,-44.77777777777778
231,-44.77777777777778
232,-44.77777777777778
233,-50.0
234,-50.0
235,-50.0
236,-50.0
237,-50.0
238,-50.0
239,-50.0
240,-48.333333333333336
241,-45.22222222222222
242,-40.0
243,-37.0
244,-32.55555555555556
245,-32.55555555555556
246,-28.0
247,-23.22222222222222
248,-18.22222222222222
249,-16.22222222222222
250,-19.333333333333332
251,-19.555555555555557
252,-17.555555555555557
253,-22.0
254,-22.0
255,-26.555555555555557
256,-31.333333333333332
257,-31.11111111111111
258,-34.77777777777778
259,-29.555555555555557
260,-29.555555555555557
261,-29.555555555555557
262,-24.77777777777778
263,-20.0
264,-14.88888888888889
265,-10.11111111111111
266,-10.666666666666666
267,-5.666666666666667
268,-6.777777777777778
269,-6.777777777777778
270,-6.777777777777778
271,-9.11111111111111
272,-13.88888888888889
273,-13.88888888888889
274,-14.777777777777779
275,-14.88888888888889
276,-14.777777777777779
277,-13.666666666666666
278,-13.666666666666666
279,-14.11111111111111
280,-16.555555555555557
281,-11.777777777777779
282,-11.88888888888889
283,-10.88888888888889
284,-10.555555555555555
285,-10.666666666666666
286,-10.88888888888889
287,-11.0
288,-11.0
289,-5.777777777777778
290,-5.555555555555555
291,-5.333333333333333
292,-5.0
293,-4.888888888888889
294,-5.222222222222222
295,-5.111111111111111
296,-5.0
297,-4.666666666666667
298,-4.777777777777778
299,-4.666666666666667
300,-4.777777777777778
301,-4.888888888888889
302,-4.777777777777778
303,-4.777777777777778
304,-5.0
305,-4.888888888888889
306,-4.777777777777778
307,-4.777777777777778
308,-4.888888888888889
309,-5.0
310,-5.666666666666667
311,-5.666666666666667
312,-5.222222222222222
313,-5.333333333333333
314,-5.333333333333333
315,-5.444444444444445
316,-5.444444444444445
317,-5.555555555555555
318,-5.444444444444445
319,-4.777777777777778
320,-4.777777777777778
321,-4.666666666666667
322,-4.333333333333333
323,-4.333333333333333
324,-4.333333333333333
325,-4.444444444444445
326,-4.222222222222222
327,-4.222222222222222
328,-4.333333333333333
329,-4.333333333333333
330,-4.555555555555555
331,-4.666666666666667
332,-4.555555555555555
333,-4.333333333333333
334,-4.111111111111111
335,-4.111111111111111
336,-4.222222222222222
337,-4.111111111111111
338,-4.444444444444445
339,-4.444444444444445
340,-4.222222222222222
341,-4.222222222222222
342,-4.111111111111111
343,-4.333333333333333
344,-4.444444444444445
345,-4.333333333333333
346,-4.555555555555555
347,-4.222222222222222
348,-4.444444444444445
349,-4.444444444444445
350,-4.666666666666667
351,-4.888888888888889
352,-4.777777777777778
353,-4.666666666666667
354,-4.888888888888889
355,-4.555555555555555
356,-4.555555555555555
357,-4.222222222222222
358,-5.0
359,-4.888888888888889
360,-4.777777777777778
361,-4.777777777777778
362,-4.777777777777778
363,-4.444444444444445
364,-4.444444444444445
365,-4.444444444444445
366,-4.333333333333333
367,-3.6666666666666665
368,-3.888888888888889
369,-3.888888888888889
370,-4.111111111111111
371,-4.111111111111111
372,-4.222222222222222
373,-4.333333333333333
374,-4.333333333333333
375,-4.333333333333333
376,-4.333333333333333
377,-4.666666666666667
378,-4.888888888888889
379,-4.555555555555555
380,-4.444444444444445
381,-4.333333333333333
382,-4.333333333333333
383,-4.444444444444445
384,-4.444444444444445
385,-4.333333333333333
386,-4.222222222222222
387,-4.0
388,-4.111111111111111
389,-4.222222222222222
390,-4.333333333333333
391,-4.333333333333333
392,-4.222222222222222
393,-4.666666666666667
394,-4.888888888888889
395,-4.333333333333333
396,-4.555555555555555
397,-4.555555555555555
398,-4.444444444444445
399,-4.444444444444445
400,-4.444444444444445
401,-4.555555555555555
402,-4.222222222222222
403,-4.111111111111111
404,-4.333333333333333
405,-4.222222222222222
406,-4.333333333333333
407,-4.888888888888889
408,-4.888888888888889
409,-4.888888888888889
410,-4.888888888888889
411,-5.222222222222222
412,-5.222222222222222
413,-5.111111111111111
414,-5.0
415,-4.888888888888889
416,-4.555555555555555
417,-4.444444444444445
418,-4.333333333333333
419,-4.333333333333333
420,-4.0
421,-4.0
422,-4.0
423,-4.0
424,-4.0
425,-3.888888888888889
426,-4.0
427,-4.111111111111111
428,-3.888888888888889
429,-4.0
430,-4.222222222222222
431,-4.444444444444445
432,-4.444444444444445
433,-4.444444444444445
434,-4.444444444444445
435,-4.666666666666667
436,-4.666666666666667
437,-4.888888888888889
438,-4.777777777777778
439,-4.555555555555555
440,-4.666666666666667
441,-4.666666666666667
442,-4.666666666666667
443,-4.555555555555555
444,-4.222222222222222
445,-4.222222222222222
446,-4.111111111111111
447,-4.111111111111111
448,-4.111111111111111
449,-3.7777777777777777
450,-3.6666666666666665
451,-3.5555555555555554
452,-3.6666666666666665
453,-4.111111111111111
454,-4.0
455,-4.0
456,-4.111111111111111
457,-4.111111111111111
458,-4.666666666666667
459,-4.666666666666667
460,-4.777777777777778
461,-4.777777777777778
462,-4.555555555555555
463,-4.777777777777778
464,-4.666666666666667
465,-4.555555555555555
466,-4.666666666666667
467,-4.111111111111111
468,-4.333333333333333
469,-4.333333333333333
470,-4.444444444444445
471,-4.444444444444445
472,-4.555555555555555
473,-4.666666666666667
474,-4.666666666666667
475,-4.666666666666667
476,-4.555555555555555
477,-4.444444444444445
478,-4.888888888888889
479,-4.888888888888889
480,-4.777777777777778
481,-4.444444444444445
482,-4.555555555555555
483,-4.888888888888889
484,-4.777777777777778
485,-4.888888888888889
486,-4.888888888888889
487,-4.444444444444445
488,-4.555555555555555
489,-4.777777777777778
490,-4.888888888888889
491,-4.777777777777778
492,-4.555555555555555
493,-4.666666666666667
494,-4.888888888888889
495,-4.888888888888889
496,-5.0
497,-4.777777777777778
498,-4.555555555555555
499,-4.444444444444445
500,-4.444444444444445
501,-4.444444444444445
502,-4.444444444444445
503,-4.222222222222222
504,-4.222222222222222
505,-4.222222222222222
506,-4.333333333333333
507,-4.333333333333333
508,-4.444444444444445
509,-4.444444444444445
510,-4.555555555555555
511,-4.444444444444445
512,-4.555555555555555
513,-4.555555555555555
514,-4.666666666666667
515,-4.555555555555555
516,-4.444444444444445
517,-4.555555555555555
518,-4.666666666666667
519,-4.444444444444445
520,-4.444444444444445
521,-4.444444444444445
522,-4.333333333333333
523,-4.111111111111111
524,-4.222222222222222
525,-4.333333333333333
526,-4.222222222222222
527,-4.111111111111111
528,-4.111111111111111
529,-4.111111111111111
530,-4.111111111111111
531,-4.333333333333333
532,-4.333333333333333
533,-4.333333333333333
534,-4.333333333333333
535,-4.555555555555555
536,-4.555555555555555
537,-4.555555555555555
538,-4.444444444444445
539,-4.333333333333333
540,-4.222222222222222
541,-4.333333333333333
542,-4.333333333333333
543,-4.333333333333333
544,-4.111111111111111
545,-4.222222222222222
546,-4.222222222222222
547,-4.333333333333333
548,-4.333333333333333
549,-4.444444444444445
550,-4.333333333333333
551,-4.333333333333333
552,-4.222222222222222
553,-4.555555555555555
554,-4.444444444444445
555,-4.555555555555555
556,-4.666666666666667
557,-4.666666666666667
558,-4.555555555555555
559,-5.111111111111111
560,-5.0
