Episodes,Returns
0,-1805.5527787489318
1,-1340.5417777775783
2,-1113.3110994822173
3,-1218.1894262041633
4,-1090.1281587782028
5,-1663.460885844427
6,-1548.6766544617444
7,-1726.8754784439132
8,-1665.0641320819511
9,-1668.8268143546634
10,-1505.7814422852102
11,-1263.1405890044964
12,-1627.0820879322862
13,-1320.0216273583953
14,-1565.97689179816
15,-1521.0143675880602
16,-1485.7313125997828
17,-1587.629525981466
18,-1464.317218350977
19,-1187.1271575430424
20,-887.6760589140526
21,-766.3150527985231
22,-250.92727376935952
23,-287.7769985556441
24,-120.31555722120365
25,-247.5276489782315
26,-123.35892898184363
27,-1.3093176905086494
28,-114.73010670847167
29,-126.88997205275192
