Episodes,Returns
0,-1594.9123198414513
1,-1592.7126259773456
2,-1594.919225875708
3,-1491.3231598439638
4,-1431.8214164188626
5,-1310.38011960941
6,-1233.7469972154909
7,-1146.065100909724
8,-1168.4642389568883
9,-1175.5185801109649
10,-1193.5377108024381
11,-1188.6471926272648
12,-1158.1251816083102
13,-1090.1792570711423
14,-998.7526163379323
15,-809.4689070247892
16,-742.8644464212048
17,-739.3805180630683
18,-646.1969176283528
19,-624.386283066382
20,-703.6998552494399
21,-635.9629067809525
22,-486.88675618278575
23,-484.942064183014
24,-381.0236295459734
25,-423.77665472582447
26,-396.2615386943995
27,-372.4695301725886
28,-322.9731205321717
29,-299.61984604985554
30,-176.8012649515258
31,-151.4886290469607
32,-151.8065586157267
33,-151.58226968456364
34,-253.16650457766156
35,-253.62826463824166
36,-280.1082364149799
37,-279.84117677980174
38,-279.4747232246693
39,-177.9868110524738
40,-231.5213761846222
41,-205.91756875731227
42,-206.3415311269644
43,-207.02356541174157
44,-207.1599495835573
45,-179.7076921100379
46,-152.8347762206751
47,-178.44945242477917
48,-178.43158670419143
49,-177.88091383464342
50,-179.00954779029416
51,-400.67752277238833
52,-374.7846764549919
53,-374.76452563886994
54,-375.4794671987409
55,-348.47318647859356
56,-126.70160090507707
57,-178.23489942546294
58,-178.0671941336099
59,-177.259871482155
60,-202.67160934031418
61,-202.74000667705113
62,-151.1834771862763
63,-150.99001842872386
64,-150.91903467948868
65,-125.4053166990503
66,-125.75575301342178
67,-126.02826021037909
68,-126.16634240279818
69,-126.68047655404953
70,-126.33913063092623
71,-126.09053501139715
72,-125.56156247856707
73,-125.26554721100692
74,-125.2317000957526
75,-125.32555653565942
76,-125.52851815811009
77,-126.9286337285026
78,-127.32510220964032
79,-126.8508214683039
80,-126.69590007372025
81,-127.34798025865602
82,-126.2700124382638
83,-152.09592947855418
84,-152.18493608870776
85,-153.1871167598627
86,-152.81550070650556
87,-152.7744448557816
88,-127.99059819282847
89,-128.90027655134182
90,-128.0857539443241
91,-127.95690016740991
92,-127.74049999106356
93,-127.38202489365067
94,-286.9863672528489
95,-315.9333589443137
96,-341.7762037501743
97,-342.14652071998864
98,-341.861599986504
99,-182.0913423245467
100,-153.06065491837506
101,-127.9434958581929
102,-128.03222788362618
103,-127.6069411506658
104,-127.66162497614278
105,-127.74311746890744
106,-126.52184568868833
107,-126.01658151521988
108,-125.78992135039297
109,-202.38913069834234
110,-202.81353814259055
111,-203.2454665553625
112,-203.95025623139372
113,-231.08431131220277
114,-155.50092547838867
115,-156.15365857144062
116,-156.50964768877458
117,-157.3687405702629
118,-157.33714464032673
119,-286.8636546338923
120,-337.43629405151296
121,-415.2292201228614
122,-413.7358325088702
123,-386.9622919259476
124,-256.1091449502608
125,-230.87797046495544
126,-152.22654559464573
127,-153.14132011345646
128,-152.8205121154664
129,-178.09310223412905
130,-151.64946864306694
131,-151.53474716015916
132,-150.90728855923516
133,-270.9790804206117
134,-245.33059576862144
135,-245.63892951028393
136,-246.0842144707989
137,-246.5211835045455
138,-126.88924397486699
139,-126.96994755090854
140,-126.92651884751103
141,-126.74002932959702
142,-126.3955785871105
143,-125.73392451090767
144,-125.72043095411209
145,-125.37495975391066
146,-125.82774451853474
147,-125.8660483333937
148,-126.78187091970321
149,-178.75201413425674
150,-204.8732230518639
151,-205.05886879684985
152,-205.23268802759995
153,-282.520270103449
154,-256.18889099213413
155,-230.19280373419605
156,-229.73865286243964
157,-229.2310056984599
158,-151.3034219708308
159,-125.9808326969447
160,-126.19712482525647
161,-125.85224295950175
162,-126.18203938173829
163,-177.44367533742334
164,-355.6843246460194
165,-600.9339989340893
166,-848.4606578455453
167,-1061.962148187573
168,-1197.345669135489
169,-1042.8944286999626
170,-820.9218565387113
171,-741.9070635891258
172,-527.7692424577123
173,-365.547827496838
174,-341.36413447584926
175,-318.07978774116054
176,-150.08322650670306
177,-202.4271754972724
178,-178.05258116781042
179,-178.1925532392459
180,-178.33236152986646
181,-178.05800901090987
182,-126.64915524455428
183,-127.0868440588296
184,-127.26648449919594
185,-126.8648475298236
186,-126.7264458468082
187,-126.12039917463699
188,-125.7784069757312
189,-125.73037660285044
190,-125.47338299810508
191,-125.68755206557398
192,-125.79314481113542
193,-125.64533448128932
194,-125.40285659824295
195,-125.82166016622651
196,-125.5510380555017
197,-125.19211367170502
198,-125.21811887857429
199,-124.09933934759411
