Episodes,Returns
0,-1594.9123198414513
1,-1592.7126259773456
2,-1594.919225875708
3,-1490.8005804310658
4,-1426.0832715644226
5,-1390.9590195487376
6,-1295.6657088033423
7,-1281.2548713798665
8,-1351.675171370995
9,-1337.6860697936318
10,-1271.3121908836613
11,-1256.8208967946562
12,-1167.5381054125778
13,-1144.6578462235193
14,-1132.2257084887635
15,-1115.7421316834457
16,-1104.1121045442392
17,-1067.0384902958474
18,-955.2666356694062
19,-904.4862992776107
20,-856.8089008732771
21,-813.780079158485
22,-785.5905502351285
23,-759.5986515032353
24,-710.219641550722
25,-683.1216807984878
26,-604.3263320236496
27,-530.3582180182908
28,-456.6889902029696
29,-405.8886002597559
30,-305.3542609631419
31,-254.1312534747085
32,-202.611114169738
33,-177.02391447636037
34,-151.03019164623402
35,-151.03869425910233
36,-175.91028215029655
37,-175.7291391115432
38,-175.2367441776063
39,-150.38133927460876
40,-150.1741462123915
41,-125.40730901838106
42,-125.83553990183573
43,-126.08393648974598
44,-125.930735744322
45,-126.07719531357434
46,-126.30659286091978
47,-126.18027895083068
48,-126.17658965660958
49,-126.12791741520341
50,-126.03222821782401
51,-125.63486936288828
52,-126.42521398365935
53,-126.68243799582997
54,-126.53284485674958
55,-126.95950221400707
56,-126.8996425482197
57,-126.56049580453836
58,-126.1086743153588
59,-127.40793701940129
60,-127.49231568095566
61,-128.84409015369602
62,-128.636051283931
63,-129.1254864093935
64,-127.91764614801795
65,-128.44446548474951
66,-127.26912714163336
67,-126.84337500735418
68,-126.62800787906454
69,-126.54163580271998
70,-150.9045210281576
71,-225.71727483611758
72,-225.87003505755857
73,-413.0314369601503
74,-464.5755648095525
75,-439.3959115887657
76,-364.9096223494809
77,-364.55438345157165
78,-225.86431100290503
79,-175.20296024242415
80,-175.5467928242564
81,-174.9915834171392
82,-175.68028174412902
83,-127.11327760939312
84,-126.7850970356798
85,-126.94952098531067
86,-127.52797585690568
87,-128.1621753600688
88,-308.978821253551
89,-461.03726463368656
90,-641.276934157587
91,-824.9195324114801
92,-824.7255409829406
93,-645.0184614214683
94,-492.5114407190631
95,-311.980281063063
96,-127.99280034974655
97,-127.25371314700605
98,-126.54264967053169
99,-127.02479110801069
100,-126.91591409237444
101,-126.84920301574603
102,-126.98174181857758
103,-126.28982797025529
104,-126.41295365409023
105,-126.11131043682398
106,-127.07943080226251
107,-127.1470067080605
108,-128.41449060274027
109,-128.7813892000966
110,-129.33937324414873
111,-128.607230780994
112,-128.92140344258368
113,-128.1966666770997
114,-127.74344461667351
115,-127.9900641576256
116,-128.35163525518436
117,-128.06077688624356
118,-127.87464849521203
119,-127.64298824606377
120,-127.29232809642853
121,-127.05522398840549
122,-126.92138075560942
123,-127.35958932650973
124,-127.29250961326325
125,-127.59544048163806
126,-128.32793429739687
127,-128.35241409729497
128,-127.82502236715955
129,-127.98566505421768
130,-127.9649081646232
131,-126.83697176782297
132,-127.88387749868271
133,-128.48229919322768
134,-128.7087232018501
135,-128.54700330823107
136,-373.74543943393803
137,-372.26120242364266
138,-416.1701185521
139,-416.15241886625154
140,-416.3476114989477
141,-196.69795092983404
142,-197.138849206733
143,-153.04525212231093
144,-152.51162178695375
145,-152.28351864394352
146,-127.01832601188653
147,-127.19092843900289
148,-127.05633106947353
149,-127.43433328313549
150,-127.42549279889936
151,-127.43317527599429
152,-127.04248007164423
153,-126.74776651367283
154,-126.41002869594668
155,-126.55100950389605
156,-126.51537845065177
157,-126.64594520065876
158,-126.7977970992506
159,-127.213292300154
160,-127.17782078258605
161,-127.88729475969595
162,-128.12410307948448
163,-128.72081704463343
164,-128.34718575769074
165,-128.56057320992258
166,-127.46502210254839
167,-127.87772294869065
168,-127.39546470033238
169,-127.23815377003193
170,-127.14715246902779
171,-127.55689330758032
172,-127.08615082037868
173,-127.17443628357287
174,-127.37200492628763
175,-127.27494833416422
176,-127.29972081006126
177,-127.65708402165619
178,-127.69421728170855
179,-128.11209817437484
180,-128.14334524235747
181,-128.08932061777304
182,-128.12688579706736
183,-127.96107933991588
184,-127.96472769566171
185,-128.08605943073053
186,-128.4006108966496
187,-128.50133476796327
188,-129.23947159468517
189,-130.15018378056556
190,-129.91374329491228
191,-130.5227621569051
192,-130.3755191203978
193,-130.8612244773205
194,-129.61956594361982
195,-130.56130788904412
196,-129.50833024016757
197,-129.8625909644805
198,-129.88488584686618
199,-130.54235936391697
