Episodes,Returns
0,0.0
100,0.0
200,0.0
300,0.0
400,0.01
500,0.0
600,0.08
700,0.04
800,0.02
900,0.0
1000,0.01
1100,0.0
1200,0.0
1300,0.04
1400,0.04
1500,0.03
1600,0.04
1700,0.01
1800,0.08
1900,0.04
2000,0.0
2100,0.05
2200,0.04
2300,0.01
2400,0.02
2500,0.01
2600,0.04
2700,0.07
2800,0.05
2900,0.08
3000,0.06
3100,0.03
3200,0.03
3300,0.02
3400,0.01
3500,0.06
3600,0.03
3700,0.03
3800,0.1
3900,0.04
4000,0.05
4100,0.01
4200,0.02
4300,0.03
4400,0.04
4500,0.05
4600,0.09
4700,0.03
4800,0.07
4900,0.1
5000,0.05
5100,0.08
5200,0.02
5300,0.08
5400,0.07
5500,0.11
5600,0.12
5700,0.08
5800,0.12
5900,0.13
6000,0.13
6100,0.15
6200,0.1
6300,0.13
6400,0.07
6500,0.09
6600,0.06
6700,0.12
6800,0.1
6900,0.1
7000,0.1
7100,0.09
7200,0.1
7300,0.15
7400,0.12
7500,0.18
7600,0.19
7700,0.15
7800,0.17
7900,0.18
8000,0.2
8100,0.23
8200,0.15
8300,0.19
8400,0.13
8500,0.2
8600,0.13
8700,0.17
8800,0.18
8900,0.18
9000,0.19
9100,0.14
9200,0.14
9300,0.21
9400,0.16
9500,0.23
9600,0.2
9700,0.18
9800,0.22
9900,0.24
10000,0.14
10100,0.19
10200,0.16
10300,0.13
10400,0.19
10500,0.13
10600,0.12
10700,0.18
10800,0.15
10900,0.12
11000,0.11
11100,0.11
11200,0.13
11300,0.19
11400,0.2
11500,0.22
11600,0.23
11700,0.22
11800,0.14
11900,0.19
12000,0.13
12100,0.21
12200,0.17
12300,0.12
12400,0.23
12500,0.22
12600,0.2
12700,0.23
12800,0.19
12900,0.07
13000,0.15
13100,0.09
13200,0.13
13300,0.24
13400,0.18
13500,0.16
13600,0.21
13700,0.17
13800,0.2
13900,0.24
14000,0.23
14100,0.24
14200,0.32
14300,0.19
14400,0.27
14500,0.25
14600,0.3
14700,0.19
14800,0.28
14900,0.24
15000,0.32
15100,0.22
15200,0.26
15300,0.33
15400,0.29
15500,0.22
15600,0.18
15700,0.29
15800,0.19
15900,0.27
16000,0.35
16100,0.28
16200,0.17
16300,0.21
16400,0.26
16500,0.26
16600,0.31
16700,0.28
16800,0.23
16900,0.22
17000,0.18
17100,0.28
17200,0.23
17300,0.24
17400,0.32
17500,0.33
17600,0.23
17700,0.31
17800,0.33
17900,0.18
18000,0.12
18100,0.11
18200,0.08
18300,0.14
18400,0.19
18500,0.19
18600,0.17
18700,0.13
18800,0.12
18900,0.11
19000,0.11
19100,0.12
19200,0.19
19300,0.09
19400,0.06
19500,0.09
19600,0.16
19700,0.1
19800,0.11
19900,0.23
20000,0.14
20100,0.07
20200,0.12
20300,0.08
20400,0.11
20500,0.12
20600,0.16
20700,0.08
20800,0.09
20900,0.18
21000,0.13
21100,0.18
21200,0.11
21300,0.18
21400,0.14
21500,0.11
21600,0.14
21700,0.14
21800,0.13
21900,0.15
22000,0.1
22100,0.2
22200,0.17
22300,0.14
22400,0.16
22500,0.19
22600,0.31
22700,0.28
22800,0.19
22900,0.2
23000,0.25
23100,0.18
23200,0.23
23300,0.24
23400,0.17
23500,0.21
23600,0.23
23700,0.13
23800,0.23
23900,0.15
24000,0.17
24100,0.11
24200,0.13
24300,0.17
24400,0.13
24500,0.16
24600,0.12
24700,0.19
24800,0.16
24900,0.21
25000,0.2
25100,0.27
25200,0.26
25300,0.19
25400,0.26
25500,0.29
25600,0.27
25700,0.14
25800,0.18
25900,0.3
26000,0.2
26100,0.14
26200,0.2
26300,0.26
26400,0.3
26500,0.24
26600,0.22
26700,0.29
26800,0.23
26900,0.31
27000,0.21
27100,0.3
27200,0.25
27300,0.25
27400,0.22
27500,0.22
27600,0.33
27700,0.32
27800,0.24
27900,0.22
28000,0.26
28100,0.25
28200,0.33
28300,0.21
28400,0.27
28500,0.22
28600,0.29
28700,0.28
28800,0.27
28900,0.26
29000,0.25
29100,0.3
29200,0.33
29300,0.17
29400,0.22
29500,0.2
29600,0.26
29700,0.35
29800,0.22
29900,0.2
30000,0.19
30100,0.23
30200,0.25
30300,0.35
30400,0.31
30500,0.27
30600,0.26
30700,0.31
30800,0.32
30900,0.3
31000,0.31
31100,0.33
31200,0.29
31300,0.34
31400,0.34
31500,0.25
31600,0.33
31700,0.32
31800,0.32
31900,0.26
32000,0.21
32100,0.2
32200,0.33
32300,0.2
32400,0.31
32500,0.38
32600,0.26
32700,0.33
32800,0.3
32900,0.18
33000,0.28
33100,0.18
33200,0.3
33300,0.17
33400,0.33
33500,0.31
33600,0.26
33700,0.33
33800,0.34
33900,0.31
34000,0.29
34100,0.34
34200,0.35
34300,0.29
34400,0.24
34500,0.31
34600,0.32
34700,0.3
34800,0.36
34900,0.32
35000,0.27
35100,0.25
35200,0.35
35300,0.24
35400,0.29
35500,0.28
35600,0.31
35700,0.33
35800,0.28
35900,0.24
36000,0.33
36100,0.32
36200,0.26
36300,0.31
36400,0.35
36500,0.4
36600,0.28
36700,0.31
36800,0.35
36900,0.28
