Episodes,Returns
0,-1768.7778959757645
1,-1404.4944269165085
2,-1101.3670115108366
3,-1101.0007157876191
4,-1640.1925645382144
5,-1719.3639745556975
6,-1313.7256875599655
7,-1562.5119643841222
8,-1131.598785765354
9,-1723.3905465789703
10,-1320.6719488953986
11,-1225.9469178253667
12,-1723.6999384886353
13,-1461.166902702
14,-1421.9826947242327
15,-1658.1471242518562
16,-956.5024754471755
17,-1064.4205450330387
18,-1797.3234180126954
19,-1345.5535233962382
20,-1403.807208394763
21,-1358.8515216351595
22,-1582.5715654127714
23,-1769.7677735007542
24,-1544.3234499031191
25,-1748.8470098736725
26,-1370.3380478826884
27,-947.9900719809195
28,-1483.7366579454274
29,-1373.6534171211495
30,-1724.8833778857713
31,-1526.1842081673703
32,-1547.0722705641215
33,-1368.2732738041025
34,-1424.681148548515
35,-1074.7214999628202
36,-945.4919472273183
37,-1426.4956891418565
38,-1812.8051394751008
39,-1461.8451470254745
40,-1097.2972671132095
41,-1120.2941966142623
42,-1286.731167002774
43,-1711.6516671571328
44,-1664.927768459827
45,-1788.8019992470706
46,-1710.064258513399
47,-1613.5301895336238
48,-1676.127150231417
49,-1051.559429933164
50,-1431.1708517830061
51,-1285.9524271616926
52,-1035.2449209257193
53,-1804.6960547535818
54,-1220.3750695153635
55,-1415.299344230023
56,-1535.301634775628
57,-1673.6519588897092
58,-1603.90216324794
59,-1069.525991002477
60,-1801.7950116970949
61,-1199.4683872667395
62,-1635.414732716542
63,-1539.4862879568109
64,-1172.103614575251
65,-1377.82140328385
66,-1255.5065722361526
67,-1529.0596400454572
68,-1771.9312259340509
69,-969.1468373591947
70,-1469.1112833681825
71,-1064.3166857125082
72,-1660.717777405385
73,-1090.880985072029
74,-1694.5700375448175
75,-1668.4806214213525
76,-1073.5253873238007
77,-1707.0785843145763
78,-1370.6996819201208
79,-1193.473750778015
80,-1072.9991279243347
81,-1243.7490118611781
82,-1075.046218386867
83,-1513.476998482175
84,-1256.1427261553006
85,-1176.288941474771
86,-1469.1146805564672
87,-1174.5743571852101
88,-1615.4951270391994
89,-1554.4527690159787
90,-1366.360886966699
91,-1175.935378960161
92,-1221.940744826348
93,-1064.7323201016716
94,-1318.957266569341
95,-1216.7497368471331
96,-1780.235948455548
97,-1824.9014604150746
98,-1776.5539034633782
99,-1255.3304067771423
100,-793.2656514962255
101,-1220.6249732440472
102,-1734.6812994676586
103,-1149.4388348320638
104,-1135.720028588366
105,-1514.6881445811005
106,-1351.9030079107208
107,-1384.6894885333263
108,-1559.5949362858928
109,-1466.851976308524
110,-1217.016162348757
111,-1234.6513861118383
112,-1269.9245694573472
113,-1026.2742238115131
114,-962.633658572232
115,-993.1498612426411
116,-1237.2079964052914
117,-1138.7853330148748
118,-1203.9240667672782
119,-1232.7979814527794
120,-1234.1680069870158
121,-1117.028685314019
122,-1223.4544517547963
123,-1454.195305966299
124,-1346.1383120906003
125,-1676.6285116024774
126,-1251.4568211489477
127,-1268.4744970755364
128,-1256.33160138364
129,-1173.9053135139825
130,-1153.6443895647858
131,-1217.397284546433
132,-1063.406653600772
133,-1209.7685466878509
134,-1140.1469710363156
135,-1174.8225237164936
136,-1123.6958307813445
137,-1212.3493699900057
138,-1386.44674628607
139,-1050.0156668349318
140,-1405.4328198940393
141,-1364.8283456196637
142,-1034.352286776752
143,-1058.4501215121581
144,-1198.3184873127477
145,-1194.0241530137805
146,-1202.227571883335
147,-1212.0089857873345
148,-1179.16950610149
149,-1263.9355389233865
150,-1462.5807417769358
151,-1188.8970381360896
152,-1129.7941022853238
153,-1786.5051370918602
154,-1102.8685330762485
155,-1118.4749208864037
156,-1140.1530211225243
157,-1106.807632035913
158,-1108.3478111419574
159,-1002.8197711933153
160,-1470.061522247012
161,-1041.351189488339
162,-965.2415713997232
163,-1200.5943923958591
164,-1487.4421350081846
165,-1216.3894016286965
166,-1163.4769396144125
167,-1168.5001303967078
168,-1188.007333395058
169,-1447.1118814633917
170,-1181.2472809162657
171,-1203.7616119580837
172,-1059.4733459279141
173,-1226.9922278896672
174,-1465.5897496841078
175,-1216.012937258462
176,-1122.7208961724464
177,-1189.303854166662
178,-1203.8239461761664
179,-1148.6149176052443
180,-1210.459893071602
181,-1103.2441167571747
182,-1062.0737532930402
183,-1383.337914739298
184,-1204.6914950244948
