Episodes,Returns
0,21.0
1,24.0
2,12.0
3,20.0
4,19.0
5,16.0
6,14.0
7,13.0
8,16.0
9,20.0
10,51.0
11,11.0
12,22.0
13,17.0
14,13.0
15,17.0
16,18.0
17,10.0
18,11.0
19,29.0
20,15.0
21,17.0
22,26.0
23,49.0
24,23.0
25,19.0
26,11.0
27,30.0
28,17.0
29,19.0
30,13.0
31,37.0
32,15.0
33,32.0
34,49.0
35,16.0
36,21.0
37,25.0
38,35.0
39,12.0
40,24.0
41,36.0
42,36.0
43,44.0
44,36.0
45,17.0
46,24.0
47,19.0
48,20.0
49,89.0
50,19.0
51,12.0
52,14.0
53,16.0
54,38.0
55,21.0
56,31.0
57,22.0
58,13.0
59,17.0
60,14.0
61,31.0
62,29.0
63,37.0
64,26.0
65,33.0
66,64.0
67,47.0
68,47.0
69,36.0
70,36.0
71,47.0
72,21.0
73,31.0
74,28.0
75,17.0
76,45.0
77,24.0
78,16.0
79,39.0
80,30.0
81,50.0
82,45.0
83,29.0
84,38.0
85,24.0
86,26.0
87,48.0
88,12.0
89,110.0
90,20.0
91,49.0
92,50.0
93,27.0
94,39.0
95,18.0
96,60.0
97,78.0
98,23.0
99,31.0
100,24.0
101,38.0
102,25.0
103,136.0
104,93.0
105,38.0
106,46.0
107,92.0
108,23.0
109,16.0
110,92.0
111,63.0
112,38.0
113,38.0
114,36.0
115,15.0
116,26.0
117,38.0
118,85.0
119,32.0
120,27.0
121,67.0
122,52.0
123,41.0
124,56.0
125,206.0
126,60.0
127,42.0
128,28.0
129,31.0
130,29.0
131,64.0
132,72.0
133,157.0
134,42.0
135,23.0
136,42.0
137,58.0
138,16.0
139,43.0
140,122.0
141,87.0
142,68.0
143,86.0
144,68.0
145,30.0
146,63.0
147,87.0
148,22.0
149,74.0
150,39.0
151,77.0
152,41.0
153,79.0
154,42.0
155,90.0
156,128.0
157,46.0
158,90.0
159,68.0
160,124.0
161,171.0
162,45.0
163,79.0
164,62.0
165,38.0
166,56.0
167,115.0
168,71.0
169,80.0
170,66.0
171,124.0
172,52.0
173,108.0
174,48.0
175,38.0
176,60.0
177,67.0
178,130.0
179,73.0
180,25.0
181,124.0
182,50.0
183,95.0
184,77.0
185,86.0
186,87.0
187,63.0
188,54.0
189,216.0
190,72.0
191,122.0
192,152.0
193,74.0
194,64.0
195,90.0
196,71.0
197,132.0
198,102.0
199,61.0
200,145.0
201,61.0
202,86.0
203,179.0
204,52.0
205,59.0
206,97.0
207,147.0
208,112.0
209,87.0
210,124.0
211,127.0
212,98.0
213,137.0
214,99.0
215,126.0
216,95.0
217,90.0
218,139.0
219,42.0
220,173.0
221,100.0
222,82.0
223,105.0
224,83.0
225,42.0
226,76.0
227,120.0
228,81.0
229,159.0
230,170.0
231,120.0
232,130.0
233,98.0
234,72.0
235,127.0
236,150.0
237,125.0
238,182.0
239,254.0
240,142.0
241,224.0
242,108.0
243,97.0
244,410.0
245,102.0
246,278.0
247,229.0
248,54.0
249,257.0
250,141.0
251,54.0
252,203.0
253,163.0
254,241.0
255,173.0
256,212.0
257,138.0
258,121.0
259,245.0
260,178.0
261,88.0
262,455.0
263,139.0
264,77.0
265,39.0
266,134.0
267,147.0
268,274.0
269,439.0
270,46.0
271,138.0
272,121.0
273,113.0
274,121.0
275,144.0
276,198.0
277,140.0
278,132.0
279,149.0
280,98.0
281,110.0
282,90.0
283,76.0
284,17.0
285,112.0
286,264.0
287,87.0
288,109.0
289,111.0
290,36.0
291,107.0
292,52.0
293,39.0
294,21.0
295,162.0
296,43.0
297,25.0
298,36.0
299,32.0
300,19.0
301,43.0
302,28.0
303,100.0
304,35.0
305,114.0
306,55.0
307,127.0
308,67.0
309,29.0
310,31.0
311,95.0
312,44.0
313,31.0
314,53.0
315,46.0
316,57.0
317,47.0
318,139.0
319,42.0
320,133.0
321,67.0
322,116.0
323,135.0
324,52.0
325,61.0
326,57.0
327,66.0
328,118.0
329,59.0
330,31.0
331,134.0
332,103.0
333,144.0
334,150.0
335,29.0
336,177.0
337,159.0
338,148.0
339,151.0
340,166.0
341,127.0
342,120.0
343,39.0
344,177.0
345,74.0
346,226.0
347,110.0
348,160.0
349,239.0
350,141.0
351,176.0
352,109.0
353,167.0
354,144.0
355,201.0
356,322.0
357,195.0
358,417.0
359,110.0
360,368.0
361,249.0
362,188.0
363,146.0
364,494.0
365,183.0
366,208.0
367,350.0
368,291.0
369,317.0
370,261.0
371,392.0
372,500.0
373,195.0
374,137.0
375,329.0
376,302.0
377,323.0
378,197.0
379,313.0
380,144.0
381,227.0
382,176.0
383,109.0
384,133.0
385,176.0
386,140.0
387,223.0
388,163.0
389,29.0
390,53.0
391,190.0
392,140.0
393,94.0
394,51.0
395,236.0
396,145.0
397,94.0
398,96.0
399,197.0
400,63.0
401,75.0
402,139.0
403,190.0
404,157.0
405,156.0
406,228.0
407,241.0
408,286.0
409,115.0
410,299.0
411,126.0
412,197.0
413,392.0
414,228.0
415,297.0
416,341.0
417,166.0
418,295.0
419,267.0
420,225.0
421,160.0
422,212.0
423,500.0
424,128.0
425,359.0
426,123.0
427,274.0
428,500.0
429,336.0
430,361.0
431,108.0
432,266.0
433,170.0
434,321.0
435,342.0
436,116.0
437,159.0
438,208.0
439,383.0
440,276.0
441,135.0
442,204.0
443,220.0
444,140.0
445,161.0
446,103.0
447,182.0
448,86.0
449,71.0
450,184.0
451,256.0
452,120.0
453,242.0
454,119.0
455,30.0
456,126.0
457,59.0
458,158.0
459,70.0
460,166.0
461,272.0
462,135.0
463,238.0
464,376.0
465,49.0
466,137.0
467,137.0
468,235.0
469,75.0
470,124.0
471,85.0
472,463.0
473,86.0
474,33.0
475,148.0
476,333.0
477,193.0
478,197.0
