Episodes,Returns
0,21.0
1,24.0
2,12.0
3,20.0
4,19.0
5,16.0
6,12.0
7,15.0
8,16.0
9,20.0
10,18.0
11,9.0
12,11.0
13,23.0
14,15.0
15,14.0
16,31.0
17,17.0
18,14.0
19,10.0
20,12.0
21,15.0
22,15.0
23,26.0
24,15.0
25,19.0
26,29.0
27,20.0
28,23.0
29,48.0
30,10.0
31,11.0
32,12.0
33,19.0
34,12.0
35,14.0
36,10.0
37,12.0
38,9.0
39,11.0
40,10.0
41,10.0
42,10.0
43,8.0
44,10.0
45,9.0
46,10.0
47,8.0
48,11.0
49,10.0
50,8.0
51,10.0
52,12.0
53,10.0
54,11.0
55,10.0
56,9.0
57,10.0
58,9.0
59,9.0
60,9.0
61,9.0
62,9.0
63,9.0
64,9.0
65,9.0
66,10.0
67,8.0
68,11.0
69,8.0
70,11.0
71,10.0
72,10.0
73,9.0
74,10.0
75,9.0
76,9.0
77,9.0
78,10.0
79,9.0
80,9.0
81,10.0
82,10.0
83,10.0
84,9.0
85,10.0
86,8.0
87,10.0
88,10.0
89,10.0
90,9.0
91,10.0
92,9.0
93,9.0
94,8.0
95,9.0
96,11.0
97,9.0
98,10.0
99,11.0
100,10.0
101,8.0
102,8.0
103,14.0
104,9.0
105,10.0
106,24.0
107,47.0
108,75.0
109,71.0
110,132.0
111,293.0
112,111.0
113,122.0
114,125.0
115,126.0
116,156.0
117,182.0
118,174.0
119,194.0
120,186.0
121,206.0
122,199.0
123,197.0
124,175.0
125,212.0
126,154.0
127,165.0
128,172.0
129,201.0
130,179.0
131,157.0
132,185.0
133,173.0
134,169.0
135,177.0
136,185.0
137,185.0
138,171.0
139,190.0
140,218.0
141,178.0
142,200.0
143,173.0
144,187.0
145,180.0
146,182.0
147,165.0
148,167.0
149,188.0
150,191.0
151,208.0
152,189.0
153,199.0
154,202.0
155,168.0
156,178.0
157,274.0
158,207.0
159,202.0
160,158.0
161,199.0
162,174.0
163,267.0
164,184.0
165,259.0
166,198.0
167,220.0
168,187.0
169,196.0
170,233.0
171,205.0
172,199.0
173,179.0
174,198.0
175,216.0
176,205.0
177,181.0
178,200.0
179,211.0
180,324.0
181,282.0
182,239.0
183,271.0
184,220.0
185,213.0
186,206.0
187,194.0
188,209.0
189,206.0
190,176.0
191,180.0
192,178.0
193,165.0
194,192.0
195,192.0
196,194.0
197,172.0
198,167.0
199,172.0
