Episodes,Returns
0,-1728.7615337412922
1,-1333.4087945362846
2,-1082.2378250109073
3,-1068.9414173526013
4,-1567.1457665553733
5,-1638.713881458997
6,-1784.4393742806758
7,-1870.2331607066849
8,-1697.093480467759
9,-1606.5062185860393
10,-1470.2419477941453
11,-1403.3693466344575
12,-1485.5998479742373
13,-1445.6873702140738
14,-1252.9399599560256
15,-972.3145797053505
16,-416.59020635499877
17,-1258.2524542349463
18,-1495.3272724702097
19,-943.751540928813
20,-262.97210824354596
21,-268.9663648185976
22,-388.69844326098354
23,-706.732266133763
24,-130.19945828596718
25,-401.84642550991174
26,-129.87056286561543
27,-3.11321655694404
28,-119.45765729405478
29,-127.92581202572082
30,-244.143483488252
31,-126.16242508036436
32,-127.53527189928853
33,-125.97986729301068
34,-127.3445853366076
35,-2.4682228421308743
36,-1.9520239866184657
37,-128.17002274604778
38,-357.7347499616285
39,-124.6642269469545
40,-2.1398622269939636
41,-131.1507102007619
42,-120.24397045437269
43,-245.92349846342253
44,-230.34722044934009
45,-277.03929347502464
46,-223.44944824311784
47,-254.01411284624862
48,-235.29399198878338
49,-1.240218652979354
50,-114.9648579552941
51,-119.25883656198229
52,-2.0300782166046183
53,-248.78580890985643
54,-129.49531196766208
55,-122.99615141584157
56,-116.69899401899573
57,-278.8150565402676
58,-126.73036322613197
59,-122.79576658794554
60,-240.34915933453436
61,-116.96067395732777
62,-243.21393237789712
63,-235.4041025550593
64,-126.15792279282103
65,-116.59645098579784
66,-119.43469014230223
67,-116.10171260089196
68,-245.20012096253714
69,-2.2762663389829836
70,-249.44798623916444
71,-4.064471570812718
72,-301.32156712149117
73,-3.1440387607892135
74,-352.11739016696635
75,-238.18356452545046
76,-121.09187875520979
77,-257.6356790604323
78,-248.15425544387722
79,-127.04070732270662
80,-0.9718490590782112
81,-117.92598960836648
82,-121.21101930219027
83,-238.94973177201592
84,-127.87498626903596
85,-120.7039845611332
86,-235.98325357753143
87,-121.67411721631855
88,-231.109845744664
89,-245.080171463573
90,-244.25955351358763
91,-120.9669432727266
92,-129.54059878502392
93,-131.613001675759
94,-116.93863892886115
95,-0.7127734332804336
96,-366.1338583770493
97,-343.1178781549296
98,-237.9000450847304
99,-121.20318907837017
