Episodes,Returns
0,-1768.7778959757645
1,-1486.9712410478169
2,-1451.4926874249281
3,-1479.7562936155196
4,-1463.9457418847155
5,-1459.4308833667083
6,-1451.5381698548013
7,-1462.2807844862732
8,-1521.696174372454
9,-1499.5899474601904
10,-1463.7616785343973
11,-1489.4387168014978
12,-1399.6918132642454
13,-1357.334644944234
14,-1361.6015509708668
15,-1337.3498401077054
16,-1337.0128310787254
17,-1269.7460259184602
18,-1276.5073719981128
19,-1318.1476854574878
20,-1289.558963525704
21,-1391.3160261534576
22,-1431.3905375869504
23,-1339.8347382734476
24,-1353.9235909652116
25,-1348.7441708273097
26,-1412.131627760905
27,-1400.0992479624422
28,-1365.9016972918196
29,-1344.5679831818068
30,-1281.0077461349802
31,-1255.611350735601
32,-1248.947743987531
33,-1252.141481576599
34,-1316.0715872788803
35,-1280.6149532246063
36,-1224.6028551446434
37,-1170.7322275539384
38,-1169.10031926126
39,-1232.7181627551026
40,-1309.7874142574542
41,-1411.15796468848
42,-1447.9490769177298
43,-1425.0971436464565
44,-1460.5207788147236
45,-1449.7227427997027
46,-1501.4319421287
47,-1510.576721679438
48,-1438.422111018644
49,-1455.2377507622393
50,-1385.8487685521436
51,-1351.0326082090298
52,-1337.652494530837
53,-1334.7302384553363
54,-1426.7301394076446
55,-1399.7113259950145
56,-1461.4121442196983
57,-1466.0102788593422
58,-1449.540045251638
59,-1495.3036484219176
60,-1475.9946342914109
61,-1464.8623469402035
62,-1420.9513312694148
63,-1412.414277280781
64,-1478.3084763780837
65,-1392.6804877071181
66,-1431.3935616466365
67,-1363.7844441329476
68,-1374.4871712675085
69,-1356.7224660061183
70,-1391.850412228169
71,-1437.7602328782943
72,-1379.466514843369
73,-1378.004123398528
74,-1422.8969188857736
75,-1371.4415259752277
76,-1361.157263005369
77,-1324.0733579853857
78,-1351.3531135946864
79,-1340.2975442681136
80,-1272.8657205216134
81,-1286.5469244409
82,-1261.7404183757058
83,-1206.017861890592
84,-1277.3898156603843
85,-1351.5098185133231
86,-1370.9622134894905
87,-1370.508368286613
88,-1291.8859295117743
89,-1293.888041947315
90,-1328.2545380911308
91,-1273.6169734532273
92,-1373.7143153477616
93,-1392.2079886731144
94,-1417.3892681538646
95,-1382.5016923744713
96,-1341.2281104021838
97,-1357.0246783228567
98,-1440.7732255423389
99,-1374.4436553249445
100,-1414.5096322499708
101,-1393.3019562369316
102,-1368.8139189409203
103,-1339.4897152504418
104,-1390.6829913360255
105,-1476.976226281491
106,-1537.9061122202256
107,-1513.3893335738717
108,-1535.5514960367937
109,-1515.7557668891807
110,-1448.0800166767667
111,-1372.3255951713784
112,-1363.967020255646
113,-1342.0381104418225
114,-1226.5656756426422
115,-1216.4883325732953
116,-1201.8221271213454
117,-1250.9460016397675
118,-1244.4792749815647
119,-1327.8865644732787
120,-1332.7134560510942
121,-1372.5186047555117
122,-1309.0018326955937
123,-1401.1180051309607
124,-1362.9247079371416
125,-1346.6768993190683
126,-1342.5602040571425
127,-1331.5201192700447
128,-1228.5135981784033
129,-1231.6747425898986
130,-1170.1535555000883
131,-1235.2200544530383
132,-1234.715272603938
133,-1275.8323103668777
134,-1300.1497620139044
135,-1252.5149302175332
136,-1308.129806701689
137,-1386.1976180538088
138,-1420.7778564591233
139,-1392.203790338102
140,-1335.3512657567142
141,-1293.9217160355636
142,-1220.141976032946
143,-1218.375050304338
144,-1235.2139112310024
145,-1224.717293631169
146,-1236.3190218286893
147,-1180.917436087423
148,-1171.1204589398887
149,-1253.7542609259674
150,-1303.8051151212194
151,-1345.810478164779
