Episodes,Returns
0,-1768.7778959757645
1,-1497.3861494754124
2,-1194.7496776922737
3,-1179.8183791570614
4,-1616.7313348241291
5,-1694.4524731104893
6,-1406.3781450735084
7,-1609.9655614810433
8,-1207.2520601727588
9,-1728.1441693136987
10,-1426.3517278682482
11,-1291.4332093755236
12,-1714.5568881326858
13,-1417.7752926137582
14,-1371.998052778353
15,-1637.471489477413
16,-802.2434296457722
17,-826.0375452926547
18,-1766.5463235533944
19,-1208.0863300997964
20,-1288.4001281147046
21,-1109.1556416902988
22,-1478.6274073306297
23,-1746.7608739127277
24,-1380.1729920913542
25,-1718.0569932955582
26,-1186.7081481940895
27,-942.5441297318698
28,-1334.8860043256682
29,-1241.7853468735873
30,-1679.6427540926575
31,-1370.3359891444654
32,-1438.982917877124
33,-1188.1695651012408
34,-1146.0148598741146
35,-958.1405895996825
36,-882.5716689992439
37,-1363.629642627279
38,-1817.1562981941154
39,-1360.5330476041927
40,-866.2271064247973
41,-954.1472695607793
42,-1173.482390467135
43,-1718.5754513186973
44,-1651.7638531208438
45,-1794.9066228784757
46,-1694.7496526905313
47,-1611.4888987526595
48,-1679.345764118592
49,-769.0447822896055
50,-1419.530063521762
51,-1255.7854064237763
52,-1069.1839553715586
53,-1803.1046108132023
54,-1170.4057829876149
55,-1381.4042096025116
56,-1491.0678756489274
57,-1653.0454594390885
58,-1597.0438908603826
59,-1176.3607428080832
60,-1811.0927704459323
61,-1110.567167128343
62,-1654.8725083438653
63,-1582.2782115201235
64,-1207.6230824279442
65,-1390.8772894880565
66,-1257.8463184019981
67,-1520.210404962678
68,-1769.4085346838056
69,-1040.440872407246
70,-1458.984832584019
71,-1046.390450720664
72,-1678.602755731182
73,-1047.7407350754297
74,-1707.0288054865068
75,-1671.0347042531205
76,-995.5669426483448
77,-1756.2470116802483
78,-1444.4760317924574
79,-995.8862963891074
80,-953.8320839919343
81,-1344.84761055132
82,-1293.2585355591425
83,-1607.5286815473582
84,-1064.1482905346188
85,-1118.6977779219344
86,-1532.9884570934978
87,-942.9730234264298
88,-1638.233880317234
89,-1620.9121096683768
90,-1519.9191653368284
91,-1289.1739287332462
92,-899.9267325738019
93,-1082.167302454491
94,-1427.9962432162772
95,-1041.2503753523495
96,-1843.849100477232
97,-1804.676940245403
98,-1847.5436249951356
99,-1205.930983322305
100,-917.7116909826608
101,-1042.0958438598725
102,-1835.9042274298167
103,-831.03011125972
104,-1401.844167677589
105,-1652.9800163598873
106,-1584.2846045813142
107,-1583.6257917808382
108,-1666.670468092559
109,-1694.3508054918364
110,-1590.464817308473
111,-1615.2532196126538
112,-1030.4895734260117
113,-1223.6826053490765
114,-1043.8982644481653
115,-902.4948110328199
116,-1508.398617539228
117,-1469.310279768149
118,-655.0988922992392
119,-1499.7687296843637
120,-1483.2573705450927
121,-1472.604444091817
122,-1165.4820654252553
123,-1794.5638698735995
124,-945.936835233154
125,-1866.64495587899
126,-897.6593312288875
127,-1484.1444442175189
128,-1156.0290549399938
129,-1337.0270929824226
130,-1435.5541867344807
131,-1066.12130234137
132,-867.5051800488189
133,-974.3871349366141
134,-1312.954272070684
135,-1483.2578218054236
136,-1479.6014075756361
137,-1526.0823948064474
138,-1555.8841578056738
139,-1006.8407005671442
140,-1566.6551906987595
141,-1570.1154822178853
142,-1285.6092805844464
143,-1055.7876769815064
144,-971.5851005729287
145,-1106.7354600852618
146,-862.0647347828726
147,-1539.9818262481983
148,-1158.3904489071258
149,-1472.1856323002778
150,-1674.5310359955704
151,-786.995008913034
152,-967.6148826537078
153,-1715.2893184476404
154,-1557.1931478425345
155,-1240.1130021749095
156,-1102.6235911074712
157,-1305.7746594720475
158,-1382.4543135831586
159,-965.7117473407967
160,-1604.4754491739554
161,-1183.1081091021647
162,-1350.2883247656898
163,-1080.93780503601
164,-1728.5528608716386
165,-900.1055215368486
166,-1333.5880698848691
167,-1297.332437148615
168,-1244.2205422895374
169,-1744.403573212744
170,-1160.5075153402995
171,-1060.3123785625419
172,-1169.6135203146403
173,-897.3458075799593
174,-1625.605118376316
175,-849.080861020811
176,-1336.6385043588034
177,-942.5315789403579
178,-975.9301779282379
179,-1280.5337853117808
180,-1007.6025096667198
181,-1466.447098874835
182,-963.6748150049808
183,-1575.737457786207
184,-968.9924015105829
185,-1178.8191324447057
