Episodes,Returns
0,21.0
1,24.0
2,12.0
3,19.0
4,16.0
5,21.0
6,15.0
7,59.0
8,13.0
9,10.0
10,10.0
11,34.0
12,15.0
13,11.0
14,9.0
15,25.0
16,11.0
17,38.0
18,32.0
19,82.0
20,33.0
21,35.0
22,37.0
23,28.0
24,42.0
25,37.0
26,37.0
27,34.0
28,32.0
29,32.0
30,36.0
31,32.0
32,48.0
33,47.0
34,44.0
35,31.0
36,29.0
37,32.0
38,52.0
39,39.0
40,44.0
41,61.0
42,82.0
43,29.0
44,40.0
45,43.0
46,30.0
47,49.0
48,77.0
49,37.0
50,57.0
51,37.0
52,27.0
53,36.0
54,28.0
55,80.0
56,46.0
57,38.0
58,49.0
59,71.0
60,41.0
61,36.0
62,48.0
63,80.0
64,47.0
65,34.0
66,60.0
67,111.0
68,39.0
69,47.0
70,53.0
71,36.0
72,47.0
73,79.0
74,56.0
75,48.0
76,54.0
77,83.0
78,56.0
79,75.0
80,54.0
81,92.0
82,31.0
83,62.0
84,48.0
85,45.0
86,53.0
87,45.0
88,52.0
89,66.0
90,37.0
91,93.0
92,86.0
93,47.0
94,60.0
95,81.0
96,39.0
97,43.0
98,63.0
99,55.0
100,55.0
101,57.0
102,34.0
103,49.0
104,95.0
105,87.0
106,48.0
107,45.0
108,48.0
109,49.0
110,79.0
111,112.0
112,72.0
113,83.0
114,105.0
115,74.0
116,84.0
117,71.0
118,84.0
119,110.0
120,97.0
121,100.0
122,69.0
123,80.0
124,136.0
125,50.0
126,57.0
127,63.0
128,149.0
129,63.0
130,69.0
131,45.0
132,159.0
133,91.0
134,54.0
135,97.0
136,78.0
137,111.0
138,58.0
139,75.0
140,68.0
141,68.0
142,88.0
143,67.0
144,89.0
145,61.0
146,70.0
147,54.0
148,68.0
149,110.0
150,108.0
151,52.0
152,120.0
153,212.0
154,90.0
155,71.0
156,57.0
157,92.0
158,196.0
159,76.0
160,56.0
161,79.0
162,60.0
163,76.0
164,55.0
165,147.0
166,82.0
167,134.0
168,62.0
169,88.0
170,100.0
171,92.0
172,77.0
173,71.0
174,81.0
175,53.0
176,62.0
177,64.0
178,69.0
179,82.0
180,85.0
181,90.0
182,56.0
183,94.0
184,174.0
185,100.0
186,94.0
187,99.0
188,88.0
189,91.0
190,119.0
191,100.0
192,106.0
193,133.0
194,90.0
195,90.0
196,87.0
197,174.0
198,77.0
199,133.0
200,79.0
201,117.0
202,100.0
203,116.0
204,129.0
205,116.0
206,41.0
207,102.0
208,90.0
209,143.0
210,101.0
211,191.0
212,89.0
213,98.0
214,154.0
215,90.0
216,101.0
217,121.0
218,93.0
219,100.0
220,103.0
221,97.0
222,111.0
223,142.0
224,91.0
225,98.0
226,90.0
227,115.0
228,132.0
229,135.0
230,111.0
231,134.0
232,124.0
233,122.0
234,196.0
235,111.0
236,105.0
237,125.0
238,137.0
239,121.0
240,143.0
241,122.0
242,104.0
243,121.0
244,108.0
245,100.0
246,126.0
247,136.0
248,92.0
249,139.0
250,143.0
251,74.0
252,161.0
253,130.0
254,198.0
255,130.0
256,126.0
257,131.0
258,144.0
259,92.0
260,96.0
261,203.0
262,145.0
263,115.0
264,243.0
265,115.0
266,141.0
267,105.0
268,165.0
269,165.0
270,169.0
271,146.0
272,128.0
273,149.0
274,87.0
275,159.0
276,148.0
277,130.0
278,152.0
279,143.0
280,128.0
281,178.0
282,118.0
283,125.0
284,152.0
285,119.0
286,253.0
287,119.0
288,157.0
289,144.0
290,138.0
291,138.0
292,112.0
293,136.0
294,163.0
295,116.0
296,163.0
297,140.0
298,137.0
299,146.0
300,131.0
301,167.0
302,188.0
303,133.0
304,174.0
305,106.0
306,150.0
307,131.0
308,180.0
309,137.0
310,190.0
311,159.0
312,144.0
313,121.0
314,138.0
315,132.0
316,150.0
317,140.0
318,162.0
319,144.0
320,185.0
321,152.0
322,204.0
323,126.0
324,137.0
325,203.0
326,228.0
327,156.0
328,163.0
329,185.0
330,203.0
331,202.0
332,148.0
333,138.0
334,207.0
335,169.0
336,167.0
337,184.0
338,146.0
339,159.0
340,123.0
341,166.0
342,233.0
343,133.0
344,168.0
345,141.0
346,140.0
347,129.0
348,143.0
349,145.0
350,132.0
351,175.0
352,141.0
353,137.0
354,139.0
355,162.0
356,152.0
357,219.0
358,136.0
359,163.0
360,241.0
361,156.0
362,153.0
363,194.0
364,156.0
365,166.0
366,178.0
367,171.0
368,131.0
369,165.0
370,142.0
371,152.0
372,174.0
373,127.0
374,167.0
375,186.0
376,151.0
377,161.0
378,157.0
379,169.0
380,161.0
381,150.0
382,194.0
383,232.0
384,170.0
385,168.0
386,192.0
387,164.0
388,170.0
389,213.0
390,201.0
391,140.0
392,177.0
393,192.0
394,202.0
395,139.0
396,175.0
397,160.0
398,159.0
399,171.0
400,163.0
401,146.0
402,194.0
403,212.0
404,237.0
405,192.0
406,173.0
407,196.0
408,215.0
409,220.0
410,183.0
411,189.0
412,311.0
413,159.0
414,203.0
415,166.0
416,90.0
417,178.0
418,188.0
419,206.0
420,226.0
421,154.0
422,219.0
423,148.0
424,273.0
425,196.0
426,197.0
427,194.0
428,161.0
429,160.0
430,214.0
431,196.0
432,216.0
433,241.0
434,301.0
435,155.0
436,200.0
437,173.0
438,204.0
439,169.0
440,180.0
441,226.0
442,202.0
443,220.0
444,197.0
445,289.0
446,248.0
447,277.0
448,178.0
449,191.0
450,222.0
451,243.0
452,161.0
453,276.0
454,156.0
455,396.0
456,189.0
457,211.0
458,186.0
459,200.0
460,298.0
461,185.0
462,234.0
463,158.0
464,265.0
465,394.0
466,337.0
467,184.0
468,200.0
469,292.0
470,279.0
471,214.0
472,269.0
473,274.0
474,301.0
475,180.0
476,209.0
477,239.0
478,256.0
