Episodes,Returns
0,21.0
1,24.0
2,12.0
3,20.0
4,19.0
5,16.0
6,14.0
7,13.0
8,16.0
9,20.0
10,30.0
11,44.0
12,15.0
13,34.0
14,16.0
15,10.0
16,9.0
17,12.0
18,10.0
19,12.0
20,15.0
21,13.0
22,9.0
23,11.0
24,10.0
25,18.0
26,11.0
27,15.0
28,15.0
29,16.0
30,14.0
31,17.0
32,31.0
33,19.0
34,12.0
35,16.0
36,19.0
37,11.0
38,11.0
39,14.0
40,18.0
41,15.0
42,15.0
43,15.0
44,18.0
45,16.0
46,24.0
47,9.0
48,13.0
49,44.0
50,28.0
51,17.0
52,14.0
53,26.0
54,29.0
55,27.0
56,19.0
57,19.0
58,14.0
59,20.0
60,13.0
61,13.0
62,20.0
63,11.0
64,25.0
65,11.0
66,27.0
67,38.0
68,23.0
69,19.0
70,28.0
71,14.0
72,13.0
73,16.0
74,13.0
75,28.0
76,39.0
77,13.0
78,11.0
79,52.0
80,16.0
81,18.0
82,19.0
83,13.0
84,28.0
85,36.0
86,19.0
87,10.0
88,18.0
89,18.0
90,46.0
91,16.0
92,12.0
93,14.0
94,33.0
95,46.0
96,36.0
97,23.0
98,14.0
99,9.0
100,18.0
101,13.0
102,25.0
103,21.0
104,101.0
105,26.0
106,24.0
107,9.0
108,13.0
109,61.0
110,19.0
111,58.0
112,22.0
113,48.0
114,44.0
115,114.0
116,15.0
117,38.0
118,14.0
119,55.0
120,27.0
121,13.0
122,64.0
123,55.0
124,51.0
125,38.0
126,43.0
127,35.0
128,24.0
129,24.0
130,34.0
131,56.0
132,22.0
133,28.0
134,19.0
135,41.0
136,41.0
137,38.0
138,21.0
139,35.0
140,21.0
141,36.0
142,53.0
143,58.0
144,16.0
145,47.0
146,76.0
147,58.0
148,46.0
149,44.0
150,47.0
151,48.0
152,16.0
153,32.0
154,57.0
155,58.0
156,62.0
157,40.0
158,32.0
159,17.0
160,50.0
161,44.0
162,37.0
163,47.0
164,18.0
165,53.0
166,81.0
167,43.0
168,49.0
169,50.0
170,52.0
171,28.0
172,61.0
173,30.0
174,57.0
175,30.0
176,44.0
177,53.0
178,115.0
179,51.0
180,51.0
181,55.0
182,44.0
183,63.0
184,36.0
185,74.0
186,34.0
187,27.0
188,102.0
189,63.0
190,41.0
191,54.0
192,31.0
193,31.0
194,46.0
195,88.0
196,72.0
197,60.0
198,110.0
199,23.0
200,26.0
201,35.0
202,30.0
203,50.0
204,35.0
205,50.0
206,91.0
207,115.0
208,42.0
209,76.0
210,111.0
211,51.0
212,25.0
213,64.0
214,121.0
215,56.0
216,35.0
217,62.0
218,56.0
219,78.0
220,125.0
221,77.0
222,93.0
223,112.0
224,54.0
225,67.0
226,41.0
227,64.0
228,71.0
229,44.0
230,55.0
231,132.0
232,36.0
233,59.0
234,57.0
235,35.0
236,71.0
237,141.0
238,25.0
239,59.0
240,46.0
241,53.0
242,76.0
243,66.0
244,100.0
245,68.0
246,121.0
247,115.0
248,77.0
249,136.0
250,70.0
251,26.0
252,25.0
253,54.0
254,55.0
255,30.0
256,86.0
257,171.0
258,72.0
259,84.0
260,147.0
261,137.0
262,214.0
263,184.0
264,74.0
265,173.0
266,172.0
267,101.0
268,81.0
269,28.0
270,145.0
271,74.0
272,64.0
273,31.0
274,66.0
275,176.0
276,78.0
277,145.0
278,168.0
279,74.0
280,69.0
281,140.0
282,95.0
283,160.0
284,125.0
285,120.0
286,161.0
287,113.0
288,147.0
289,226.0
290,234.0
291,146.0
292,351.0
293,129.0
294,144.0
295,21.0
296,169.0
297,25.0
298,55.0
299,157.0
300,61.0
301,219.0
302,115.0
303,143.0
304,125.0
305,121.0
306,57.0
307,214.0
308,183.0
309,467.0
310,222.0
311,113.0
312,123.0
313,92.0
314,280.0
315,98.0
316,241.0
317,194.0
318,191.0
319,78.0
320,94.0
321,122.0
322,100.0
323,500.0
324,241.0
325,121.0
326,123.0
327,81.0
328,183.0
329,280.0
330,164.0
331,185.0
332,102.0
333,323.0
334,169.0
335,40.0
336,500.0
337,169.0
338,149.0
339,207.0
340,158.0
341,163.0
342,436.0
343,186.0
344,172.0
345,291.0
346,191.0
347,88.0
348,325.0
349,95.0
350,138.0
351,97.0
352,82.0
353,292.0
354,102.0
355,174.0
356,44.0
357,73.0
358,256.0
359,277.0
360,164.0
361,119.0
362,310.0
363,187.0
364,212.0
365,187.0
366,167.0
367,273.0
368,161.0
369,241.0
370,424.0
371,206.0
372,462.0
373,500.0
374,166.0
375,182.0
376,139.0
377,185.0
378,143.0
379,185.0
380,242.0
381,375.0
382,181.0
383,306.0
384,152.0
385,238.0
386,181.0
387,348.0
388,209.0
389,180.0
390,268.0
391,242.0
392,244.0
393,283.0
394,147.0
395,227.0
396,355.0
397,165.0
398,291.0
399,148.0
400,204.0
401,243.0
402,208.0
403,321.0
404,243.0
405,214.0
406,219.0
407,349.0
408,173.0
409,469.0
410,149.0
411,269.0
412,237.0
413,262.0
414,406.0
415,218.0
416,175.0
417,205.0
418,298.0
419,240.0
420,161.0
421,141.0
422,124.0
423,218.0
424,151.0
425,186.0
426,487.0
427,221.0
428,314.0
429,127.0
430,248.0
431,255.0
432,409.0
433,462.0
434,224.0
435,316.0
436,308.0
437,253.0
438,297.0
439,500.0
440,155.0
441,350.0
442,335.0
443,193.0
444,360.0
445,386.0
446,272.0
447,500.0
448,451.0
449,365.0
450,295.0
451,393.0
452,403.0
453,247.0
454,226.0
455,300.0
456,273.0
457,162.0
458,361.0
459,500.0
460,326.0
461,184.0
462,349.0
463,189.0
464,317.0
465,236.0
466,111.0
467,336.0
468,55.0
469,401.0
470,335.0
471,238.0
472,383.0
473,373.0
474,280.0
475,296.0
476,357.0
477,475.0
478,224.0
