Episodes,Returns
0,-1707.3983880675535
1,-1435.0502542454415
2,-1365.9818050026029
3,-1359.1434428380705
4,-1421.5578164482524
5,-1438.4018810938258
6,-1452.2090995321355
7,-1486.9824252724627
8,-1550.9808041629983
9,-1538.8955168411803
10,-1486.7977289010303
11,-1503.6712333613932
12,-1415.2822344462595
13,-1322.528907713947
14,-1233.3813459940257
15,-1127.0302446931587
16,-1079.6975872649791
17,-1076.6212743459391
18,-1080.0896225954793
19,-1053.2453938214885
20,-964.8661637280485
21,-911.2628876935119
22,-854.6166502279763
23,-737.5856374414636
24,-697.1395617387121
25,-596.2690986073693
26,-445.7646180683413
27,-307.0365204512434
28,-217.07766434484964
29,-188.71689366062571
30,-158.52479319095113
31,-130.74747197577543
32,-130.65249283828356
33,-117.39670647698706
34,-130.544152724901
35,-115.41048098607523
36,-100.89955314006107
37,-100.71576877481614
38,-100.0795378921345
39,-115.00842454623893
40,-140.58298197459467
41,-179.7665862316345
42,-191.49662120616267
43,-193.6363213524722
44,-206.72724201388903
45,-207.03299719336064
46,-204.8276835040144
47,-204.6753882005392
48,-175.71064308152725
49,-186.9244539884894
50,-162.16704785208924
51,-150.3721969268178
52,-133.76364377277866
53,-136.01991707696612
54,-163.77036644097905
55,-164.91189995679693
56,-178.45259672703912
57,-191.13917935174283
58,-181.38245631271923
59,-193.67172211052173
60,-193.7654723169811
61,-193.4677166340124
62,-178.10654821136833
63,-162.8358465353352
64,-178.30678418840156
65,-152.18654271280036
66,-168.1444852567551
67,-140.97896799765215
68,-150.54564419908436
69,-136.86322106317272
70,-165.2802173219081
71,-179.7897695683698
72,-180.64198811891643
73,-182.5052563181024
74,-210.46654897036285
75,-195.94579109970073
76,-196.24710539880795
77,-173.64513813756398
78,-187.31489070190824
79,-173.2007572334001
80,-159.49765261879577
81,-159.74036637183437
82,-155.61531937116524
83,-140.93179042881255
84,-152.68069100175327
85,-179.59074110926142
86,-193.65594746609472
87,-193.01103773417708
88,-180.14602294434331
89,-179.9735903970577
90,-179.0926294796219
91,-152.1710773871002
92,-237.51133008333758
93,-264.8251572792433
94,-264.2506088054029
95,-249.9366114129815
96,-264.4226054363228
97,-264.66287595817835
98,-284.4140040623283
99,-285.8026849231885
100,-327.10228932625773
101,-283.13656877648623
102,-283.8046500013758
103,-297.77389007476046
104,-337.78397879204323
105,-351.79505058364
106,-362.90848252334723
107,-355.6672258981893
108,-355.82487237678856
109,-328.04922260547835
110,-286.1056021977695
111,-232.88353156825906
112,-218.69835705702442
113,-178.96151559096083
114,-137.32595660183384
115,-126.2100457516321
116,-112.58706631967006
117,-111.20879851268465
118,-111.63469242070116
119,-128.2772293863915
120,-141.5879324637143
121,-154.68138800111936
122,-141.21030082007687
123,-168.737166454849
124,-167.61414485636325
125,-167.78488839249297
126,-167.97312439384646
127,-167.97069697587884
128,-137.95410044567365
129,-137.69570141194467
130,-110.98717124015336
131,-138.35377327512833
132,-123.2540365840622
133,-137.45214404582657
134,-149.16710608654265
135,-136.07858366607576
136,-149.06629179373138
137,-175.76688339168808
138,-175.8446394058022
139,-163.3077349018147
140,-149.57451364545705
141,-137.11767457696584
142,-124.2767519184482
143,-128.0467020321804
144,-141.7148428077538
145,-141.4056097921938
146,-142.89281876663395
147,-143.32331950196385
148,-143.36592659949625
149,-169.12488021043342
150,-181.91354707097264
151,-180.68798041158394
152,-152.76142508805626
153,-152.9709413908705
154,-140.69375226203314
155,-113.33846225632442
156,-128.62057785752566
157,-142.78147766193757
158,-116.91181948667833
159,-117.8661026261713
160,-139.5938959379386
161,-139.42983919212486
162,-139.82064187352404
163,-153.32536086606302
164,-165.84881844214235
165,-179.11446034650322
166,-192.99030362556934
167,-194.2683407307308
168,-193.60218206639223
169,-173.2059056913899
170,-204.37726181178812
171,-322.9486499865331
172,-365.89002549254576
173,-366.14170806804356
174,-337.10932902132885
175,-321.80773503467367
176,-307.14106394595404
177,-333.10958735975225
178,-318.9667384267159
179,-324.0462122526612
180,-191.64807448039696
181,-134.7042904062861
182,-134.86931119847497
183,-146.80413305537755
184,-133.4328037108167
185,-158.40464247877955
186,-166.8785784025523
187,-193.36789234703934
188,-170.93577905202093
189,-183.66405292489395
190,-183.51858024856404
191,-183.69281279938312
192,-172.02166132068103
193,-186.15082130031968
194,-175.5064985811914
195,-142.12569931068558
196,-128.7523394727835
197,-130.91890498698132
198,-131.96908256787773
199,-132.65848758631586
