Episodes,Returns
0,-1594.9123198414513
1,-1592.7126259773456
2,-1594.919225875708
3,-1520.3430433490553
4,-1473.6401669043184
5,-1360.2104765104148
6,-1309.0706271950041
7,-1203.5578953139566
8,-1176.328491998493
9,-1013.8672705870347
10,-861.450511377363
11,-684.1936058951494
12,-596.084595219326
13,-590.2565599122612
14,-691.2446889247265
15,-716.7497714649046
16,-675.0833550638014
17,-624.3108616264748
18,-586.1523037905463
19,-475.6511222512316
20,-447.9229120175638
21,-423.78313304580587
22,-374.15393435942315
23,-226.85625923665648
24,-152.2585283280001
25,-127.89773537031215
26,-127.9458571659059
27,-127.76544498117437
28,-179.18621389398612
29,-179.3958360768185
30,-203.38786432694397
31,-203.25035432921868
32,-203.55761323204206
33,-151.90589221851187
34,-176.06747043533105
35,-254.8989550655213
36,-254.7147123003495
37,-255.09920281541707
38,-255.00547592905713
39,-230.77353773657813
40,-127.2682358538892
41,-128.4293507581584
42,-127.9976360335495
43,-127.91087569905721
44,-179.64374167522982
45,-180.78326191958186
46,-179.53057352202376
47,-179.21853160788086
48,-178.7306992957405
49,-127.78032955073505
50,-292.34095176593763
51,-457.5792149740635
52,-592.0091908936126
53,-747.928171190594
54,-873.4846508336122
55,-734.5839020993008
56,-569.966895727977
57,-435.9737523012576
58,-280.9811261918876
59,-156.6251248540146
60,-131.01742083523567
61,-131.25854344211112
62,-131.45383961548652
63,-157.26393585374026
64,-206.51903154053434
65,-205.2484836155134
66,-203.93510661707916
67,-203.5050980527041
68,-177.09268350202836
69,-126.16887847832113
70,-126.20951493033208
71,-126.44397573561874
72,-126.05600713539316
73,-125.49442588003004
74,-125.26763931533205
75,-124.88035970775672
76,-125.61012546148122
77,-125.65890977996897
78,-345.33659145036216
79,-344.9731623542568
80,-478.09425261774743
81,-477.38302320593505
82,-529.8365073373382
83,-311.2294153413779
84,-311.47296058288777
85,-203.27136067032842
86,-203.26169784164958
87,-151.29715327284066
88,-150.81959970603492
89,-150.56705285247443
90,-126.15213859668293
91,-125.99498269299075
92,-125.3957377220213
93,-227.94806109130587
94,-229.07330603416776
95,-229.5677906525263
96,-229.5885876844055
97,-278.97327958531093
98,-176.066223071891
99,-175.7982110893732
100,-175.1902233487737
101,-175.29530647806388
102,-126.30147796976526
103,-126.53822840638168
104,-126.55881428969005
105,-126.44417658405727
106,-151.27953163803176
107,-150.89358412043657
108,-175.75629634801734
109,-174.96847137539444
110,-175.3920344709346
111,-151.8454598484299
112,-152.45339781697112
113,-127.77811512323532
114,-128.81078672800214
115,-128.35523996647535
116,-154.35502724593243
117,-154.07593564675918
118,-153.62853408989903
119,-152.74880599842874
120,-153.6388062271435
121,-126.43748425189987
122,-126.70953765929735
123,-206.11482532144
124,-332.6942652362835
125,-483.21891591523456
126,-611.1865077087699
127,-661.6987673503711
128,-582.3984439192631
129,-456.1952692915787
130,-305.63549684323226
131,-177.48404087721718
132,-126.17946655972337
133,-126.17640003831912
134,-125.69017962543876
135,-125.2129205151301
136,-125.23230741517618
137,-125.62857210692455
138,-125.92827808072471
139,-125.84862889453507
140,-125.45267609814763
141,-125.40018557298754
142,-125.32681076027366
143,-125.19059839863766
144,-125.27277431373804
145,-124.96653092923516
146,-125.39398140349658
147,-125.32893327100173
148,-125.28161248986434
149,-125.30486330939456
150,-126.1544296153268
151,-126.13618470246438
152,-125.92532643493614
153,-126.40954800045874
154,-126.6618307501034
155,-127.11522512836527
156,-126.82748651370203
157,-127.49260861669318
158,-127.28060671530693
159,-198.24730149258684
160,-197.68700137200796
161,-197.9026365023645
162,-197.78201788437582
163,-197.82041096414324
164,-126.40210936638323
165,-126.22009347185522
166,-203.04973994650354
167,-374.4976169466157
168,-497.0801372002097
169,-700.946429793589
170,-953.3221341983881
171,-1090.6899739701344
172,-1123.6183514544566
173,-1000.693735853846
174,-927.296750490155
175,-755.0625158863797
176,-540.8522750710792
177,-335.87278891001915
178,-335.5915512740597
179,-205.27831670284505
180,-124.70603013645159
181,-124.73310883283993
182,-125.08811853211083
183,-125.44711476839147
184,-125.77973769468954
185,-126.06210741994146
186,-126.65125936529512
187,-126.72622128808288
188,-126.48624070692168
189,-126.26489451270172
190,-126.14725821498287
191,-125.28777139031736
192,-124.68855597470538
193,-124.75685581664729
194,-124.43125811617065
195,-124.41458024136519
196,-124.59173681433022
197,-124.92799404811085
198,-125.10213658080242
199,-124.90989346020551
