Episodes,Returns
0,-1768.7778959757645
1,-1424.8797781343699
2,-1403.1665229457885
3,-1435.560325263515
4,-1415.892558554898
5,-1410.849519733032
6,-1401.5359110640197
7,-1415.3781228767455
8,-1484.566925399081
9,-1464.6751851950569
10,-1431.6328207693387
11,-1469.90186929066
12,-1402.567481630999
13,-1395.1032326607415
14,-1403.3179961533779
15,-1406.0826155423597
16,-1425.8448700500703
17,-1385.3061570663506
18,-1398.795564034214
19,-1437.4383505649384
20,-1424.7912756373007
21,-1512.8295572402449
22,-1546.820390890206
23,-1452.450019108898
24,-1467.8037007254743
25,-1464.4532794728502
26,-1505.1234857229185
27,-1498.8582238067627
28,-1474.1142790360261
29,-1454.5531483583577
30,-1418.5347193222292
31,-1385.6884362200217
32,-1385.4108668029544
33,-1379.0507591581134
34,-1427.8453949752195
35,-1398.6189248796306
36,-1350.9648203180575
37,-1303.5450343236282
38,-1294.4848002345923
39,-1326.370413413327
40,-1391.9488876907724
41,-1485.6500045818555
42,-1517.1576234009165
43,-1495.0159622963085
44,-1518.825073763636
45,-1513.7430918547414
46,-1548.284942429047
47,-1548.1984157800382
48,-1473.0421106432145
49,-1488.5719202314099
50,-1425.4133724834423
51,-1392.6617153408442
52,-1383.9696537010668
53,-1383.6946324408766
54,-1445.0660472536304
55,-1404.883284944682
56,-1462.1991276708368
57,-1480.4461794865056
58,-1461.6371437046118
59,-1497.093945753662
60,-1470.0721980142423
61,-1452.5743945151544
62,-1406.1137959980924
63,-1397.7979600867047
64,-1475.842986190213
65,-1383.326522374891
66,-1413.2868441639407
67,-1349.8315056079364
68,-1363.3016711022226
69,-1354.2769344907542
70,-1389.4712271864182
71,-1435.3572326514404
72,-1384.7423156823675
73,-1377.5364666135365
74,-1422.153449342528
75,-1391.5270568325084
76,-1392.4917726338235
77,-1346.1619097955781
78,-1344.4024912750044
79,-1324.2810424902661
80,-1278.465720794039
81,-1289.8838934774815
82,-1263.4434597265806
83,-1241.6517569782575
84,-1288.5430210072793
85,-1342.0378700174608
86,-1355.6614116958517
87,-1366.8713184262176
88,-1334.4784013533483
89,-1313.2105784585
90,-1329.0626145801184
91,-1301.0220652790804
92,-1368.3177976424518
93,-1391.5851680175483
94,-1416.2630718450382
