Episodes,Returns
0,-1728.7615337412922
1,-1381.469384429495
2,-1356.099067439292
3,-1457.6640847051617
4,-1530.1083593456194
5,-1516.5244354394802
6,-1531.728119134798
7,-1567.409399315192
8,-1613.7047804953738
9,-1600.2094031241186
10,-1557.3456340682324
11,-1467.1095457820854
12,-1305.5936619652314
13,-1256.8335479393634
14,-1244.4803317042713
15,-1185.9813976081232
16,-1059.2705933424668
17,-924.0890952140621
18,-806.6458811081632
19,-745.9561373501342
20,-652.3877905257582
21,-650.749592654082
22,-525.3738269463788
23,-359.572265178238
24,-267.9840558854869
25,-252.97891186128416
26,-250.22081393569047
27,-221.05014524895523
28,-156.6949236673467
29,-156.22608022368513
30,-125.72587575998438
31,-111.5700602018191
32,-111.44103880511628
33,-112.40907941089326
34,-137.94340584821637
35,-124.66793289918334
36,-110.8876481376978
37,-111.28936350452851
38,-110.65204163356854
39,-123.82747642543715
40,-149.1473650484606
41,-179.71261721383902
42,-190.29922004684704
43,-178.77470481180433
44,-191.06690092756332
45,-190.9669405304505
46,-189.16851250317632
47,-189.05905318179956
48,-161.95978426548592
49,-164.0085163166546
50,-147.61474059361475
51,-136.45326316836184
52,-121.1960277431119
53,-126.03170158216543
54,-139.97505097918233
55,-140.84515193836543
56,-154.29963224642657
57,-167.06969843984066
58,-166.45060104740048
59,-178.2182444460001
60,-178.5695523767758
61,-178.55815870642013
62,-160.84922910664642
63,-159.6682679260646
64,-173.2687517454639
65,-146.81620807929156
66,-161.53702055505144
67,-134.96485824315297
68,-142.28902097275648
69,-128.6208116358636
70,-154.78980487821616
71,-167.98412425412081
72,-168.53858716015546
73,-169.92031583769938
74,-197.24009240491029
75,-183.6392836364143
76,-183.29565891288803
77,-162.91837252254078
78,-176.03692591602965
79,-163.46274164992388
80,-151.2062329547674
81,-151.16313359987058
82,-148.75730854621523
83,-134.7039598542639
84,-146.267197456704
85,-173.39034439053728
86,-187.42740704667247
87,-187.40028748784323
88,-175.2437171559553
89,-175.65905220114655
90,-175.2406804642273
91,-149.09951600375481
92,-176.26170946605836
93,-188.7070464005325
94,-187.90925458066098
95,-174.2363251989704
96,-188.23134067614004
97,-213.81354882567203
98,-234.07370410601007
99,-121.20318907837017
