Episodes,Returns
0,21.0
1,24.0
2,12.0
3,19.0
4,13.0
5,18.0
6,17.0
7,37.0
8,20.0
9,21.0
10,14.0
11,35.0
12,10.0
13,20.0
14,12.0
15,24.0
16,24.0
17,22.0
18,32.0
19,48.0
20,70.0
21,27.0
22,33.0
23,50.0
24,34.0
25,55.0
26,27.0
27,19.0
28,29.0
29,36.0
30,21.0
31,38.0
32,22.0
33,35.0
34,21.0
35,20.0
36,44.0
37,19.0
38,26.0
39,25.0
40,24.0
41,30.0
42,35.0
43,36.0
44,19.0
45,32.0
46,18.0
47,29.0
48,31.0
49,24.0
50,27.0
51,20.0
52,14.0
53,40.0
54,17.0
55,37.0
56,26.0
57,21.0
58,13.0
59,30.0
60,31.0
61,31.0
62,32.0
63,23.0
64,22.0
65,21.0
66,24.0
67,30.0
68,58.0
69,30.0
70,17.0
71,21.0
72,23.0
73,11.0
74,23.0
75,18.0
76,20.0
77,24.0
78,9.0
79,25.0
80,19.0
81,25.0
82,23.0
83,19.0
84,31.0
85,24.0
86,46.0
87,17.0
88,32.0
89,31.0
90,22.0
91,25.0
92,32.0
93,25.0
94,10.0
95,29.0
96,58.0
97,58.0
98,27.0
99,23.0
100,23.0
101,35.0
102,36.0
103,34.0
104,30.0
105,42.0
106,32.0
107,27.0
108,31.0
109,50.0
110,32.0
111,43.0
112,35.0
113,31.0
114,31.0
115,27.0
116,32.0
117,45.0
118,35.0
119,29.0
120,53.0
121,50.0
122,36.0
123,56.0
124,51.0
125,32.0
126,29.0
127,32.0
128,26.0
129,17.0
130,32.0
131,53.0
132,29.0
133,28.0
134,42.0
135,21.0
136,32.0
137,35.0
138,34.0
139,28.0
140,18.0
141,39.0
142,34.0
143,40.0
144,35.0
145,33.0
146,39.0
147,43.0
148,57.0
149,46.0
150,33.0
151,46.0
152,33.0
153,34.0
154,56.0
155,54.0
156,62.0
157,32.0
158,47.0
159,32.0
160,40.0
161,43.0
162,43.0
163,32.0
164,53.0
165,37.0
166,39.0
167,27.0
168,48.0
169,46.0
170,40.0
171,36.0
172,40.0
173,55.0
174,42.0
175,53.0
176,49.0
177,70.0
178,31.0
179,53.0
180,62.0
181,51.0
182,55.0
183,52.0
184,27.0
185,37.0
186,34.0
187,48.0
188,49.0
189,39.0
190,37.0
191,20.0
192,33.0
193,19.0
194,30.0
195,10.0
196,45.0
197,36.0
198,36.0
199,28.0
200,46.0
201,33.0
202,38.0
203,38.0
204,55.0
205,26.0
206,49.0
207,31.0
208,31.0
209,31.0
210,54.0
211,30.0
212,46.0
213,54.0
214,30.0
215,56.0
216,51.0
217,42.0
218,49.0
219,64.0
220,40.0
221,54.0
222,50.0
223,52.0
224,50.0
225,51.0
226,46.0
227,42.0
228,45.0
229,44.0
230,48.0
231,34.0
232,49.0
233,49.0
234,58.0
235,43.0
236,55.0
237,55.0
238,64.0
239,68.0
240,32.0
241,52.0
242,47.0
243,57.0
244,64.0
245,51.0
246,71.0
247,41.0
248,40.0
249,52.0
250,45.0
251,41.0
252,49.0
253,45.0
254,44.0
255,32.0
256,58.0
257,50.0
258,51.0
259,37.0
260,58.0
261,46.0
262,56.0
263,46.0
264,48.0
265,87.0
266,44.0
267,50.0
268,51.0
269,57.0
270,39.0
271,60.0
272,39.0
273,42.0
274,44.0
275,40.0
276,44.0
277,49.0
278,47.0
279,51.0
280,78.0
281,46.0
282,51.0
283,46.0
284,43.0
285,56.0
286,50.0
287,41.0
288,47.0
289,68.0
290,63.0
291,57.0
292,61.0
293,44.0
294,46.0
295,60.0
296,46.0
297,63.0
298,56.0
299,50.0
300,58.0
301,49.0
302,63.0
303,58.0
304,62.0
305,55.0
306,59.0
307,62.0
308,46.0
309,69.0
310,49.0
311,42.0
312,61.0
313,74.0
314,64.0
315,58.0
316,66.0
317,56.0
318,68.0
319,60.0
320,41.0
321,57.0
322,58.0
323,81.0
324,62.0
325,48.0
326,35.0
327,51.0
328,52.0
329,44.0
330,42.0
331,55.0
332,58.0
333,64.0
334,50.0
335,53.0
336,67.0
337,62.0
338,69.0
339,68.0
340,65.0
341,61.0
342,56.0
343,73.0
344,66.0
345,66.0
346,76.0
347,61.0
348,66.0
349,76.0
350,75.0
351,75.0
352,64.0
353,77.0
354,71.0
355,74.0
356,87.0
357,47.0
358,61.0
359,83.0
360,58.0
361,74.0
362,95.0
363,90.0
364,119.0
365,92.0
366,93.0
367,85.0
368,113.0
369,82.0
370,103.0
371,112.0
372,89.0
373,131.0
374,67.0
375,89.0
376,121.0
377,66.0
378,120.0
379,101.0
380,103.0
381,98.0
382,88.0
383,99.0
384,109.0
385,105.0
386,90.0
387,113.0
388,104.0
389,82.0
390,79.0
391,121.0
392,100.0
393,116.0
394,93.0
395,133.0
396,93.0
397,98.0
398,120.0
399,106.0
400,116.0
401,98.0
402,124.0
403,109.0
404,75.0
405,115.0
406,99.0
407,135.0
408,133.0
409,122.0
410,123.0
411,138.0
412,160.0
413,153.0
414,148.0
415,129.0
416,144.0
417,142.0
418,100.0
419,135.0
420,133.0
421,159.0
422,144.0
423,181.0
424,164.0
425,143.0
426,153.0
427,155.0
428,168.0
429,141.0
430,161.0
431,162.0
432,202.0
433,140.0
434,152.0
435,175.0
436,181.0
437,183.0
438,164.0
439,154.0
440,220.0
441,217.0
442,168.0
443,213.0
444,124.0
445,140.0
446,207.0
447,217.0
448,222.0
449,190.0
450,109.0
451,171.0
452,223.0
453,209.0
454,214.0
455,223.0
456,223.0
457,195.0
458,208.0
459,212.0
460,217.0
461,217.0
462,205.0
463,240.0
464,215.0
465,203.0
466,218.0
467,225.0
468,240.0
469,215.0
470,204.0
471,221.0
472,207.0
473,223.0
474,203.0
475,231.0
476,233.0
477,229.0
478,214.0
