Episodes,Returns
0,-1768.7778959757645
1,-1419.4643008760688
2,-1104.751272576849
3,-1067.893288304641
4,-1608.8880941896298
5,-1702.2318173544552
6,-1232.45077283438
7,-1591.1424762847487
8,-1099.8670594966093
9,-1737.3003577408615
10,-1338.4957564961942
11,-1187.8213784705904
12,-1722.3901402326862
13,-1276.9033412837045
14,-1305.2439353308453
15,-1648.3494548830004
16,-1068.7073727266288
17,-956.401453127158
18,-1789.088762567004
19,-923.6837414045987
20,-1180.1950739893143
21,-1050.9200903533522
22,-1421.7603249619015
23,-1744.3285741881289
24,-1285.268730287128
25,-1720.8964345112222
26,-1146.9646209422224
27,-1180.0895642108978
28,-1165.775046098243
29,-1144.8444884896014
30,-1700.9541135566305
31,-1069.94609969961
32,-1342.096961972857
33,-1066.222519394888
34,-1050.3004198938083
35,-1086.6464965714965
36,-1168.7156313171197
37,-1054.3703593307785
38,-1821.6780987054876
39,-1248.7596733461855
40,-1020.4255927623791
41,-1214.3704980411953
42,-1108.8414477567435
43,-1755.1695671834811
44,-1695.6337063216858
45,-1820.8971163916854
46,-1740.1691863667488
47,-1625.0042726586523
48,-1713.5921540246536
49,-1193.4211920408072
50,-1305.9181798135653
51,-984.6474844374267
52,-1087.0131795004281
53,-1827.3283731338436
54,-1032.4656030839221
55,-1197.6561180038793
56,-1464.1650372189554
57,-1708.7299471525346
58,-1615.842960792536
59,-1196.838655035926
60,-1837.4913170404575
61,-1143.7754522198238
62,-1719.0428526851692
63,-1631.7043386563093
64,-1139.3101997802785
65,-1292.4211678854435
66,-1072.2964700528146
67,-1496.247652720984
68,-1812.2838337639428
69,-1035.4753588691453
70,-1430.4405389198337
71,-1208.5940345859615
72,-1758.7496541563587
73,-1236.6416475717288
74,-1770.502957261686
75,-1740.5739025819182
76,-1089.5706827337995
77,-1806.3547101010377
78,-1336.7275210289
79,-1230.9116936727285
80,-892.2265613048012
81,-1141.8251962753395
82,-995.2587364110218
83,-1644.6188768137351
84,-1205.1475550676862
85,-1164.4688273417812
86,-1548.0948425462814
87,-1217.2128735954827
88,-1736.6576558631602
89,-1651.8464765319586
90,-1470.0525908028105
91,-1174.2735958270564
92,-1214.496978253347
93,-1219.1426522004242
94,-1198.4322471359885
95,-1253.7986412169494
96,-1853.0902161588008
97,-1817.9480835675047
98,-1865.3789778384755
99,-1300.231819191128
100,-1188.4281893232937
101,-1222.0668716784874
102,-1836.1166638384484
103,-1384.7864743065143
104,-1222.1962945137589
105,-1632.4333826063328
106,-1359.8104763257013
107,-1332.328998527762
108,-1667.9001486773407
109,-1666.6366812957283
110,-1450.4623191573473
111,-1247.9315876616633
112,-1315.1107674024952
113,-1201.020007733632
114,-1315.9118619799467
115,-1319.0265968925357
116,-1310.5597616632533
117,-1236.4894664914295
118,-1371.5775954727262
119,-1216.0552312518198
120,-1283.57350218656
121,-1284.3900424491578
122,-1360.4352071112557
123,-1777.1224933948856
124,-1317.4541390911832
125,-1871.659819905112
126,-1226.3941074566085
127,-1312.018887575843
128,-1418.1719353244755
129,-1352.9312830568506
130,-1205.5888901291041
131,-1248.153170770278
132,-1268.5056110289015
133,-1347.9278989206323
134,-1199.8640239511449
135,-1191.693373574723
136,-1285.7974958578932
137,-1263.0252696886434
138,-1456.8526256267194
139,-1236.12831447788
140,-1418.8617060087126
141,-1284.7960869698027
142,-1358.7988050429808
143,-1339.3129659431827
144,-1318.0297713442255
145,-1281.5738208274142
146,-1218.9094924421129
147,-1253.669292965761
148,-1387.9666128184776
149,-1253.9222873140911
150,-1717.365523594531
151,-1389.3761070976302
152,-1374.4093261290861
153,-1833.2844314144445
154,-1294.0454055876482
155,-1312.0339520183886
156,-1370.8610607709497
157,-1330.4715851365982
158,-1326.0880466183562
159,-1476.7216356554613
160,-1435.8820407466978
161,-1405.4764157006446
162,-1289.6063708483546
163,-1303.4063453415904
164,-1781.528322032053
165,-1379.76231680537
166,-1223.4791127778747
167,-1331.444315880746
168,-1355.9345870931186
169,-1834.8060001610286
170,-1388.9212778917577
171,-1387.6746336792778
172,-1429.5428482199052
173,-1372.4552139874347
174,-1630.3786841963586
175,-1391.2076320359497
176,-1355.6167489804416
177,-1442.7992668589743
178,-1367.3145186246645
179,-1351.016575600217
180,-1379.9137892378467
181,-1385.0181291043996
182,-1411.61075756222
183,-1534.9832139928117
184,-1385.1364623948984
185,-1438.7262505102829
186,-1397.7615090363902
187,-1391.2991140976112
188,-1381.5129694894465
189,-1655.9393411869955
190,-1806.3701800260328
191,-1357.2793932852583
192,-1440.5222140337416
193,-1370.9339952829923
194,-1379.6024589324643
195,-1498.9425888280296
196,-1398.0781764481867
197,-1362.5596820245103
198,-1388.7487334314167
199,-1361.1122801427503
200,-1345.3274805008668
201,-1371.057783284568
202,-1392.6099204520488
203,-1316.0531118277681
204,-1465.0567211131242
205,-1659.865418881859
206,-1603.607186608916
207,-1349.1222127557257
208,-1516.8025069952398
209,-1390.2102056477552
210,-1347.14642345852
211,-1506.7647542982788
212,-1451.214405988529
213,-1321.7747933412654
214,-1212.7082472039876
215,-1487.8570519685763
216,-1178.6399626288494
217,-1236.4804936089947
218,-1466.6355541081941
